root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	5.349000	231.7895	1.76243655e-01	yes
2	singlet	5.659200	219.0843	1.18513330e-03	yes
3	singlet	5.978900	207.3696	3.22167390e-01	yes
4	singlet	6.481000	191.3041	2.72276800e-04	yes
5	singlet	6.597400	187.9289	4.80324100e-03	yes
6	singlet	7.002700	177.0520	2.95916890e-03	yes
7	singlet	7.184200	172.5790	1.52483794e-02	yes
8	singlet	7.398200	167.5870	4.06081500e-04	yes
9	singlet	7.501800	165.2726	2.17641790e-03	yes
10	singlet	7.583400	163.4942	1.24415989e-01	yes
11	singlet	7.616400	162.7858	2.08580873e-01	yes
12	singlet	7.757300	159.8291	3.03296111e-01	yes
13	singlet	7.918000	156.5852	1.23897308e-01	yes
14	singlet	7.974600	155.4739	3.36475557e-02	yes
15	singlet	8.171400	151.7294	2.36628984e-02	yes
16	singlet	8.322500	148.9747	3.63274790e-03	yes
17	singlet	8.343600	148.5980	5.08791940e-03	yes
18	singlet	8.461200	146.5326	3.23163720e-03	yes
19	singlet	8.524400	145.4462	6.93120579e-02	yes
20	singlet	8.805200	140.8079	8.66542080e-03	yes
21	singlet	8.848600	140.1173	4.88691000e-05	yes
22	singlet	9.046800	137.0476	6.63736040e-03	yes
23	singlet	9.175200	135.1297	4.80204700e-04	yes
24	singlet	9.190200	134.9091	6.20678390e-03	yes
25	singlet	9.316400	133.0817	5.02813234e-02	yes
26	singlet	9.363000	132.4193	4.22726135e-02	yes
27	singlet	9.430600	131.4701	8.20129800e-04	yes
28	singlet	9.443800	131.2863	1.11145952e-02	yes
29	singlet	9.516400	130.2848	3.85103328e-02	yes
30	singlet	9.969700	124.3610	6.26913810e-03	yes
