root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	4.115900	301.2323	1.00000000e-10	yes
2	singlet	8.921900	138.9661	1.26611046e-01	yes
3	singlet	9.559900	129.6919	8.79159800e-04	yes
4	singlet	10.067500	123.1529	3.13549235e-02	no
5	singlet	10.788500	114.9225	1.00000000e-10	no
6	singlet	10.993300	112.7816	3.70095887e-01	no
7	singlet	11.523100	107.5962	2.57278526e-02	no
8	singlet	12.732900	97.3731	2.04028059e-02	no
9	singlet	14.187800	87.3879	1.00000000e-10	no
10	singlet	14.612200	84.8498	4.76095501e-02	no
11	singlet	15.106900	82.0712	2.12973382e-01	no
12	singlet	15.274400	81.1712	3.38952984e-02	no
13	singlet	15.942300	77.7706	1.32204146e-02	no
14	singlet	16.396700	75.6153	2.95242623e-01	no
15	singlet	16.488400	75.1948	2.81254912e-01	no
16	singlet	16.870600	73.4913	1.75659761e-01	no
