root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	4.027100	307.8746	1.00000000e-10	yes
2	singlet	8.308200	149.2311	1.11644803e-01	yes
3	singlet	9.405700	131.8181	9.24648800e-04	yes
4	singlet	9.792000	126.6178	1.22829990e-03	yes
5	singlet	10.487100	118.2254	1.00000000e-10	no
6	singlet	10.706400	115.8038	3.71248925e-01	no
7	singlet	11.117700	111.5196	2.35696268e-02	no
8	singlet	12.176400	101.8234	1.70107542e-02	no
9	singlet	13.709200	90.4387	1.00000000e-10	no
10	singlet	13.725200	90.3333	4.95301465e-02	no
11	singlet	14.383200	86.2007	1.93997052e-01	no
12	singlet	14.966700	82.8400	1.35228433e-02	no
13	singlet	15.127600	81.9589	2.46463347e-02	no
14	singlet	15.759600	78.6722	2.42425612e-01	no
15	singlet	15.865600	78.1466	2.98406241e-01	no
16	singlet	16.301500	76.0569	1.73499390e-01	no
