root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	8.344900	148.5748	2.58747749e-02	yes
2	singlet	10.377000	119.4798	0.00000000e+00	no
3	singlet	10.614000	116.8119	9.11130001e-02	no
4	singlet	12.758500	97.1777	6.44793728e-02	no
5	singlet	14.736700	84.1329	2.40697641e-01	no
6	singlet	17.041600	72.7538	0.00000000e+00	no
7	singlet	17.627400	70.3361	9.94189109e-02	no
8	singlet	18.724400	66.2153	1.48835167e-01	no
9	singlet	20.112700	61.6447	1.99233409e-01	no
10	singlet	20.665100	59.9969	5.86387510e-03	no
11	singlet	24.957300	49.6785	4.00108852e-01	no
12	singlet	26.055300	47.5850	5.54684227e-01	no
