root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	7.498800	165.3387	2.45611877e-02	yes
2	singlet	9.544500	129.9012	0.00000000e+00	yes
3	singlet	9.752500	127.1307	8.59299004e-02	yes
4	singlet	11.887900	104.2944	5.48813092e-02	no
5	singlet	14.094300	87.9676	2.30817219e-01	no
6	singlet	16.350500	75.8290	0.00000000e+00	no
7	singlet	16.918500	73.2832	8.74214849e-02	no
8	singlet	17.928500	69.1548	1.35693382e-01	no
9	singlet	19.431400	63.8061	1.89062854e-01	no
10	singlet	19.784200	62.6683	5.42520730e-03	no
11	singlet	24.456900	50.6950	3.95155894e-01	no
12	singlet	25.499600	48.6220	5.54248383e-01	no
