root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	6.228400	199.0627	0.00000000e+00	yes
2	singlet	7.106400	174.4684	2.08913039e-02	yes
3	singlet	10.080900	122.9892	2.36110636e-01	no
4	singlet	10.270300	120.7211	2.17388535e-01	no
5	singlet	10.627200	116.6668	0.00000000e+00	no
6	singlet	11.087300	111.8254	1.73051180e-03	no
7	singlet	12.041700	102.9624	1.05971888e-01	no
8	singlet	12.453900	99.5545	6.28751544e-01	no
9	singlet	13.029500	95.1565	4.30431803e-01	no
10	singlet	13.552700	91.4830	9.01718720e-03	no
11	singlet	14.225100	87.1587	3.59725218e-01	no
12	singlet	14.532500	85.3151	7.93322160e-03	no
