root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	6.151600	201.5479	0.00000000e+00	yes
2	singlet	6.915100	179.2949	2.13426178e-02	yes
3	singlet	9.867900	125.6439	2.23048164e-01	yes
4	singlet	10.131500	122.3750	1.98902301e-01	no
5	singlet	10.411800	119.0805	0.00000000e+00	no
6	singlet	10.884200	113.9121	1.95473860e-03	no
7	singlet	11.899400	104.1937	1.03775406e-01	no
8	singlet	12.309200	100.7248	6.36839295e-01	no
9	singlet	12.851700	96.4730	4.32883482e-01	no
10	singlet	13.302200	93.2058	4.95125730e-03	no
11	singlet	14.034600	88.3418	3.46125399e-01	no
12	singlet	14.307000	86.6598	6.06341350e-03	no
