root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	6.845900	181.1072	3.83001270e-02	yes
2	singlet	6.845900	181.1072	3.83001270e-02	yes
3	singlet	7.244000	171.1543	7.23350650e-03	yes
4	singlet	8.431900	147.0418	0.00000000e+00	yes
5	singlet	8.446600	146.7859	0.00000000e+00	yes
6	singlet	8.446600	146.7859	0.00000000e+00	yes
7	singlet	8.866800	139.8297	1.39220340e-03	yes
8	singlet	8.866800	139.8297	1.39220340e-03	yes
9	singlet	9.003200	137.7113	2.35184482e-02	yes
10	singlet	9.003200	137.7113	2.35184482e-02	yes
11	singlet	9.118600	135.9685	6.08575017e-02	yes
12	singlet	9.456900	131.1045	4.74301070e-03	yes
13	singlet	10.521400	117.8400	7.68646000e-05	no
14	singlet	10.521400	117.8400	7.68646000e-05	no
15	singlet	10.939800	113.3331	0.00000000e+00	no
16	singlet	10.939800	113.3331	0.00000000e+00	no
17	singlet	10.959400	113.1305	2.64023800e-04	no
18	singlet	10.962600	113.0974	0.00000000e+00	no
19	singlet	11.383800	108.9128	2.83574213e-02	no
20	singlet	11.383800	108.9128	2.83574213e-02	no
21	singlet	11.432100	108.4527	6.93697112e-02	no
22	singlet	12.413400	99.8793	5.58929241e-02	no
23	singlet	12.413400	99.8793	5.58929241e-02	no
24	singlet	13.054400	94.9750	3.71301909e-02	no
