root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	5.494800	225.6391	3.47048634e-02	yes
2	singlet	5.494800	225.6391	3.47048633e-02	yes
3	singlet	5.834400	212.5055	5.79628750e-03	yes
4	singlet	7.184600	172.5694	0.00000000e+00	yes
5	singlet	7.217200	171.7899	0.00000000e+00	yes
6	singlet	7.217300	171.7875	0.00000000e+00	yes
7	singlet	7.569800	163.7879	6.54235100e-04	yes
8	singlet	7.569800	163.7879	6.54235100e-04	yes
9	singlet	7.715700	160.6908	2.20986514e-02	yes
10	singlet	7.715700	160.6908	2.20986514e-02	yes
11	singlet	7.860000	157.7407	5.96467517e-02	yes
12	singlet	8.135500	152.3990	4.55964600e-04	yes
13	singlet	9.075200	136.6187	6.12779000e-05	yes
14	singlet	9.075200	136.6187	6.12779000e-05	yes
15	singlet	9.456300	131.1128	2.87141300e-04	yes
16	singlet	9.636300	128.6637	0.00000000e+00	yes
17	singlet	9.636400	128.6624	0.00000000e+00	yes
18	singlet	9.649600	128.4864	0.00000000e+00	yes
19	singlet	10.025500	123.6688	2.87632624e-02	no
20	singlet	10.025500	123.6688	2.87632624e-02	no
21	singlet	10.244800	121.0216	8.18403741e-02	no
22	singlet	11.334700	109.3846	5.92037562e-02	no
23	singlet	11.334700	109.3846	5.92037562e-02	no
24	singlet	11.909300	104.1070	3.99011876e-02	no
