root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	5.015500	247.2021	3.56698360e-02	yes
2	singlet	5.871300	211.1699	6.88868079e-02	yes
3	singlet	6.426000	192.9415	9.26298785e-02	yes
4	singlet	6.528400	189.9151	2.31718905e-01	yes
5	singlet	6.668300	185.9307	3.49908095e-02	yes
6	singlet	6.825600	181.6459	5.92934912e-01	yes
7	singlet	7.216500	171.8065	1.21782034e-02	yes
8	singlet	7.477300	165.8141	1.20807772e-02	yes
9	singlet	7.614200	162.8329	4.18703930e-03	yes
10	singlet	7.903000	156.8824	2.25458600e-03	yes
11	singlet	8.255500	150.1837	8.02893010e-03	yes
12	singlet	8.266600	149.9821	1.05088619e-01	yes
13	singlet	8.311400	149.1737	3.78231503e-02	yes
14	singlet	8.378300	147.9825	7.11581934e-02	yes
15	singlet	8.573300	144.6167	3.86906010e-03	yes
16	singlet	8.696300	142.5712	4.95731100e-04	yes
17	singlet	8.743600	141.7999	1.77002900e-04	yes
18	singlet	8.939100	138.6987	2.69790620e-03	yes
19	singlet	8.982100	138.0348	3.32777630e-03	yes
20	singlet	9.336800	132.7909	3.92308000e-04	yes
21	singlet	9.514700	130.3080	1.59972110e-03	yes
22	singlet	9.610400	129.0104	1.98637170e-03	yes
23	singlet	9.788600	126.6618	1.17525562e-02	yes
24	singlet	9.806300	126.4332	8.14232360e-03	yes
25	singlet	9.822800	126.2208	1.22595531e-02	yes
26	singlet	9.889600	125.3683	2.44323237e-02	yes
27	singlet	9.934600	124.8004	3.73884360e-03	yes
28	singlet	10.009100	123.8715	2.38557430e-03	no
29	singlet	10.062000	123.2202	4.75091340e-03	no
30	singlet	10.097500	122.7870	1.59283640e-03	no
