root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	5.105500	242.8444	3.77486592e-02	yes
2	singlet	5.934300	208.9281	6.67847878e-02	yes
3	singlet	6.615400	187.4175	1.96855989e-01	yes
4	singlet	6.700600	185.0345	1.93684802e-01	yes
5	singlet	6.874300	180.3590	2.68089396e-01	yes
6	singlet	6.945800	178.5024	3.55141311e-01	yes
7	singlet	7.439300	166.6611	8.79647150e-03	yes
8	singlet	7.696200	161.0979	1.29489036e-02	yes
9	singlet	7.929800	156.3522	6.03304530e-03	yes
10	singlet	8.182600	151.5218	4.17780080e-03	yes
11	singlet	8.457500	146.5967	6.57511876e-02	yes
12	singlet	8.537600	145.2214	4.60577148e-02	yes
13	singlet	8.572000	144.6386	6.88939310e-02	yes
14	singlet	8.587800	144.3725	9.20166090e-03	yes
15	singlet	8.795500	140.9632	5.60730750e-03	yes
16	singlet	8.918000	139.0269	1.32860610e-03	yes
17	singlet	9.011900	137.5783	1.20377800e-04	yes
18	singlet	9.099100	136.2598	2.30166440e-03	yes
19	singlet	9.235700	134.2445	3.43327750e-03	yes
20	singlet	9.634800	128.6837	3.92029100e-04	yes
21	singlet	9.696800	127.8609	1.39927730e-03	yes
22	singlet	9.893100	125.3239	1.83484300e-03	yes
23	singlet	10.051200	123.3526	6.47032500e-04	no
24	singlet	10.100200	122.7542	2.31463454e-02	no
25	singlet	10.158500	122.0497	1.50590983e-02	no
26	singlet	10.208700	121.4495	1.81228275e-02	no
27	singlet	10.265000	120.7834	3.78623570e-03	no
28	singlet	10.298100	120.3952	2.77104890e-03	no
29	singlet	10.372300	119.5339	9.04895200e-04	no
30	singlet	10.431800	118.8522	5.43181550e-03	no
