root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	9.091500	136.3737	0.00000000e+00	yes
2	singlet	9.718200	127.5794	0.00000000e+00	yes
3	singlet	9.718200	127.5794	0.00000000e+00	yes
4	singlet	9.802700	126.4796	0.00000000e+00	yes
5	singlet	9.802700	126.4796	0.00000000e+00	yes
6	singlet	14.771400	83.9353	2.20185302e-01	no
7	singlet	14.771400	83.9353	2.20185302e-01	no
8	singlet	15.583800	79.5597	7.99715686e-01	no
9	singlet	22.273600	55.6642	1.11884553e+00	no
10	singlet	23.236600	53.3573	0.00000000e+00	no
11	singlet	23.236600	53.3573	0.00000000e+00	no
12	singlet	24.232700	51.1640	0.00000000e+00	no
