root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	9.521400	130.2163	0.00000000e+00	yes
2	singlet	9.521400	130.2163	0.00000000e+00	yes
3	singlet	9.589600	129.2903	0.00000000e+00	yes
4	singlet	10.157900	122.0569	0.00000000e+00	no
5	singlet	10.157900	122.0569	0.00000000e+00	no
6	singlet	14.169300	87.5020	2.14787086e-01	no
7	singlet	14.169300	87.5020	2.14787086e-01	no
8	singlet	15.595000	79.5025	7.49139045e-01	no
9	singlet	21.452600	57.7945	1.05818053e+00	no
10	singlet	22.521200	55.0522	0.00000000e+00	no
11	singlet	22.521200	55.0522	0.00000000e+00	no
12	singlet	23.667300	52.3863	0.00000000e+00	no
