root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	6.432700	192.7405	0.00000000e+00	yes
2	singlet	6.964600	178.0206	0.00000000e+00	yes
3	singlet	6.964600	178.0206	0.00000000e+00	yes
4	singlet	11.333100	109.4001	5.39922000e-04	no
5	singlet	11.333100	109.4001	5.39806600e-04	no
6	singlet	11.890300	104.2734	4.51608253e-02	no
7	singlet	11.890300	104.2734	4.51611059e-02	no
8	singlet	11.926600	103.9560	9.47630897e-01	no
9	singlet	13.216200	93.8123	0.00000000e+00	no
10	singlet	13.709500	90.4367	0.00000000e+00	no
11	singlet	13.709500	90.4367	0.00000000e+00	no
12	singlet	15.885500	78.0487	8.16693269e-02	no
13	singlet	15.885500	78.0487	8.16693561e-02	no
14	singlet	16.753200	74.0063	5.91282054e-02	no
15	singlet	17.505800	70.8246	9.29600540e-01	no
16	singlet	18.487500	67.0638	1.50920980e-01	no
