root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	6.650000	186.4424	0.00000000e+00	yes
2	singlet	7.112500	174.3187	0.00000000e+00	yes
3	singlet	7.112500	174.3187	0.00000000e+00	yes
4	singlet	11.109100	111.6060	1.09812120e-03	no
5	singlet	11.109100	111.6060	1.09803900e-03	no
6	singlet	11.628700	106.6191	4.39513815e-02	no
7	singlet	11.628700	106.6191	4.39542689e-02	no
8	singlet	11.800600	105.0660	8.57374376e-01	no
9	singlet	13.034800	95.1178	0.00000000e+00	no
10	singlet	13.479400	91.9805	0.00000000e+00	no
11	singlet	13.479400	91.9805	0.00000000e+00	no
12	singlet	15.317600	80.9423	8.05116241e-02	no
13	singlet	15.317600	80.9423	8.05142597e-02	no
14	singlet	15.854400	78.2018	2.52893126e-01	no
15	singlet	17.017300	72.8577	7.07634946e-01	no
16	singlet	17.987300	68.9287	1.46721583e-01	no
