root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	7.617900	162.7538	5.48361571e-02	yes
2	singlet	9.773900	126.8523	2.16856635e-02	yes
3	singlet	9.773900	126.8523	2.16839351e-02	yes
4	singlet	13.099400	94.6488	2.21622761e-01	no
5	singlet	13.100100	94.6437	2.21654478e-01	no
6	singlet	15.065300	82.2979	8.36685000e-05	no
7	singlet	15.065700	82.2957	8.95520000e-05	no
8	singlet	15.255700	81.2707	2.25700000e-07	no
9	singlet	15.502700	79.9759	1.89571051e-01	no
10	singlet	15.503000	79.9743	1.89600122e-01	no
11	singlet	16.347600	75.8424	9.69051650e-02	no
12	singlet	19.211400	64.5368	8.20247432e-02	no
