root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	7.095800	174.7290	5.19561533e-02	yes
2	singlet	9.286000	133.5173	2.02766870e-02	yes
3	singlet	9.286100	133.5159	2.02749081e-02	yes
4	singlet	12.659000	97.9415	2.01374549e-01	no
5	singlet	12.659700	97.9361	2.01398748e-01	no
6	singlet	14.667400	84.5305	8.87464870e-03	no
7	singlet	14.667700	84.5287	8.93984030e-03	no
8	singlet	14.727200	84.1872	1.44000000e-08	no
9	singlet	15.085400	82.1882	1.84807041e-01	no
10	singlet	15.085800	82.1860	1.84781234e-01	no
11	singlet	15.946100	77.7520	8.77930275e-02	no
12	singlet	18.638200	66.5215	8.64409165e-02	no
