root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	open-shell	5.240900	236.5704	0.00000000e+00	yes
2	open-shell	5.240900	236.5704	0.00000000e+00	yes
3	open-shell	5.677000	218.3974	0.00000000e+00	yes
4	open-shell	8.002600	154.9299	0.00000000e+00	yes
5	open-shell	8.002600	154.9299	0.00000000e+00	yes
6	open-shell	8.843000	140.2060	2.03242990e-01	yes
7	open-shell	11.794300	105.1221	1.49010000e-06	no
8	open-shell	11.794300	105.1221	1.49010000e-06	no
9	open-shell	15.922200	77.8688	1.04122989e-01	no
10	open-shell	15.922200	77.8688	1.04122989e-01	no
11	open-shell	16.239400	76.3478	0.00000000e+00	no
12	open-shell	16.239400	76.3478	0.00000000e+00	no
13	open-shell	17.125200	72.3987	1.29859710e-03	no
14	open-shell	19.616900	63.2027	0.00000000e+00	no
15	open-shell	19.616900	63.2027	0.00000000e+00	no
16	open-shell	21.762800	56.9707	1.20093976e+00	no
