root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	open-shell	6.523600	190.0549	0.00000000e+00	yes
2	open-shell	6.523600	190.0549	0.00000000e+00	yes
3	open-shell	6.977700	177.6863	0.00000000e+00	yes
4	open-shell	8.220000	150.8324	0.00000000e+00	yes
5	open-shell	8.220000	150.8324	0.00000000e+00	yes
6	open-shell	9.550000	129.8264	1.89423713e-01	yes
7	open-shell	11.293200	109.7866	3.69091000e-05	no
8	open-shell	11.293200	109.7866	3.69091000e-05	no
9	open-shell	15.298900	81.0412	1.01693325e-01	no
10	open-shell	15.298900	81.0412	1.01693325e-01	no
11	open-shell	16.592300	74.7239	0.00000000e+00	no
12	open-shell	16.592300	74.7239	0.00000000e+00	no
13	open-shell	16.874900	73.4725	1.06752500e-04	no
14	open-shell	18.820300	65.8779	0.00000000e+00	no
15	open-shell	18.820300	65.8779	0.00000000e+00	no
16	open-shell	21.138200	58.6541	1.12525145e+00	no
