root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	4.916500	252.1798	6.15394876e-02	yes
2	singlet	5.767700	214.9630	1.15381558e-01	yes
3	singlet	6.147600	201.6790	1.74577860e-03	yes
4	singlet	6.584400	188.2999	8.03658510e-02	yes
5	singlet	6.675500	185.7302	2.42858380e-01	yes
6	singlet	6.923600	179.0747	5.42802825e-01	yes
7	singlet	6.964000	178.0359	2.39750970e-03	yes
8	singlet	7.504700	165.2087	3.19272670e-03	yes
9	singlet	7.792600	159.1050	2.52126180e-03	yes
10	singlet	8.152000	152.0905	1.03667491e-02	yes
11	singlet	8.255300	150.1874	5.89009730e-03	yes
12	singlet	8.380800	147.9384	5.80630082e-02	yes
13	singlet	8.492400	145.9943	3.95856107e-02	yes
14	singlet	8.600800	144.1543	3.95083620e-02	yes
15	singlet	8.685900	142.7419	1.15887538e-02	yes
16	singlet	8.714100	142.2800	4.70890210e-03	yes
17	singlet	8.770500	141.3650	1.93390690e-03	yes
18	singlet	9.010200	137.6043	6.91334470e-03	yes
19	singlet	9.082700	136.5059	5.75964110e-03	yes
20	singlet	9.185100	134.9840	1.24997430e-02	yes
21	singlet	9.336100	132.8008	1.09312731e-01	yes
22	singlet	9.503400	130.4630	5.34404400e-03	yes
23	singlet	9.694700	127.8886	1.09271600e-04	yes
24	singlet	9.827400	126.1617	2.23345950e-03	yes
25	singlet	9.849700	125.8761	2.11871360e-03	yes
26	singlet	9.924600	124.9261	1.38792855e-02	yes
27	singlet	9.999800	123.9867	3.28253978e-02	yes
28	singlet	10.045100	123.4275	4.38214650e-03	no
29	singlet	10.081400	122.9831	1.90010187e-02	no
30	singlet	10.274200	120.6753	2.95426900e-03	no
