root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	5.001500	247.8940	6.44914890e-02	yes
2	singlet	5.824400	212.8703	1.08948840e-01	yes
3	singlet	6.378400	194.3813	2.17825340e-03	yes
4	singlet	6.755100	183.5416	2.31578848e-01	yes
5	singlet	6.833200	181.4438	1.63054286e-01	yes
6	singlet	7.018100	176.6635	5.33637771e-01	yes
7	singlet	7.185600	172.5454	1.29004000e-03	yes
8	singlet	7.786900	159.2215	4.89419640e-03	yes
9	singlet	8.003200	154.9183	2.63088910e-03	yes
10	singlet	8.414000	147.3546	1.33159334e-02	yes
11	singlet	8.499300	145.8758	8.79589010e-03	yes
12	singlet	8.563400	144.7838	2.72975199e-02	yes
13	singlet	8.708900	142.3649	4.90943246e-02	yes
14	singlet	8.813400	140.6769	1.67211304e-02	yes
15	singlet	8.868000	139.8108	2.22923300e-02	yes
16	singlet	8.939800	138.6879	5.99045900e-03	yes
17	singlet	8.991400	137.8920	2.38180840e-03	yes
18	singlet	9.179000	135.0737	8.96746370e-03	yes
19	singlet	9.255700	133.9544	7.27030630e-03	yes
20	singlet	9.465000	130.9923	1.35990188e-02	yes
21	singlet	9.643000	128.5743	9.80829089e-02	yes
22	singlet	9.767600	126.9341	8.27926310e-03	yes
23	singlet	9.973600	124.3124	6.67881000e-05	yes
24	singlet	10.128700	122.4088	4.90276200e-03	no
25	singlet	10.155900	122.0810	2.82159370e-03	no
26	singlet	10.208100	121.4567	1.64274729e-02	no
27	singlet	10.244100	121.0299	4.65079150e-03	no
28	singlet	10.292900	120.4560	2.71541348e-02	no
29	singlet	10.341100	119.8946	2.18290371e-02	no
30	singlet	10.598200	116.9861	1.95805390e-03	no
