root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	4.834400	256.4624	4.87491016e-02	yes
2	singlet	5.853000	211.8302	1.78682639e-01	yes
3	singlet	6.391300	193.9890	3.16866170e-03	yes
4	singlet	7.016700	176.6987	5.52818320e-01	yes
5	singlet	7.073500	175.2798	1.97793318e-01	yes
6	singlet	7.101700	174.5838	2.18845169e-02	yes
7	singlet	7.250100	171.0103	3.57718190e-02	yes
8	singlet	7.306700	169.6856	3.49138100e-04	yes
9	singlet	7.328200	169.1878	5.17214628e-02	yes
10	singlet	7.339500	168.9273	5.05108010e-03	yes
11	singlet	7.950400	155.9471	5.40020000e-05	yes
12	singlet	8.167900	151.7945	1.68633362e-01	yes
13	singlet	8.321200	148.9980	6.70243840e-03	yes
14	singlet	8.484000	146.1388	8.53118390e-03	yes
15	singlet	8.574600	144.5947	4.77416580e-03	yes
16	singlet	8.703600	142.4516	9.15546090e-03	yes
17	singlet	8.784000	141.1478	2.08512511e-02	yes
18	singlet	8.896200	139.3676	4.88899850e-03	yes
19	singlet	9.008500	137.6302	9.28674650e-03	yes
20	singlet	9.051300	136.9794	5.59659930e-03	yes
21	singlet	9.154500	135.4352	6.33445300e-04	yes
22	singlet	9.200100	134.7640	6.28909900e-04	yes
23	singlet	9.596200	129.2013	2.04385010e-03	yes
24	singlet	9.634600	128.6864	6.48692350e-03	yes
25	singlet	9.710500	127.6805	1.20100088e-02	yes
26	singlet	9.724100	127.5020	1.10116786e-02	yes
27	singlet	9.930700	124.8494	2.36787950e-03	yes
28	singlet	10.079700	123.0039	6.66315000e-05	no
29	singlet	10.170000	121.9117	4.23282500e-04	no
30	singlet	10.197900	121.5782	2.89446056e-02	no
