root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	4.913300	252.3440	5.11408050e-02	yes
2	singlet	5.909000	209.8226	1.70618413e-01	yes
3	singlet	6.556800	189.0925	2.54830760e-03	yes
4	singlet	7.081200	175.0892	6.16357648e-01	yes
5	singlet	7.193300	172.3607	2.45388790e-01	yes
6	singlet	7.352900	168.6194	3.48472160e-03	yes
7	singlet	7.463800	166.1140	1.31447292e-02	yes
8	singlet	7.506900	165.1603	3.73029009e-02	yes
9	singlet	7.521700	164.8353	9.29452490e-03	yes
10	singlet	7.541100	164.4113	3.19528720e-03	yes
11	singlet	8.149400	152.1390	2.00613380e-03	yes
12	singlet	8.388500	147.8026	1.44017086e-01	yes
13	singlet	8.505800	145.7643	7.47570670e-03	yes
14	singlet	8.703300	142.4565	9.60599180e-03	yes
15	singlet	8.788500	141.0755	3.33665100e-03	yes
16	singlet	8.881600	139.5967	8.13720500e-03	yes
17	singlet	8.952100	138.4973	2.04047152e-02	yes
18	singlet	9.174900	135.1341	4.12034400e-04	yes
19	singlet	9.196200	134.8211	1.39319978e-02	yes
20	singlet	9.223100	134.4279	1.93457000e-04	yes
21	singlet	9.450000	131.2002	6.94658800e-04	yes
22	singlet	9.459800	131.0643	7.61974200e-04	yes
23	singlet	9.829400	126.1361	1.75134670e-03	yes
24	singlet	9.832600	126.0950	2.05991660e-03	yes
25	singlet	9.972200	124.3298	1.64988127e-02	yes
26	singlet	10.074000	123.0734	9.84474980e-03	no
27	singlet	10.208100	121.4567	2.24839650e-03	no
28	singlet	10.238300	121.0984	1.48273730e-03	no
29	singlet	10.417300	119.0176	4.86975500e-04	no
30	singlet	10.457100	118.5646	2.67858330e-02	no
