root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	4.469700	277.3882	3.41085000e-05	yes
2	singlet	8.115900	152.7670	3.04209077e-02	yes
3	singlet	8.707900	142.3813	5.00338520e-03	yes
4	singlet	8.878900	139.6391	6.47951540e-02	yes
5	singlet	8.905100	139.2283	5.84714800e-04	yes
6	singlet	9.174000	135.1474	2.07143630e-02	yes
7	singlet	9.446200	131.2530	4.93095537e-02	yes
8	singlet	9.544400	129.9026	6.61488410e-03	yes
9	singlet	9.567700	129.5862	9.43848575e-02	yes
10	singlet	9.966800	124.3972	6.09245710e-03	yes
11	singlet	9.974000	124.3074	7.29295320e-03	yes
12	singlet	10.189600	121.6772	1.17171592e-02	no
13	singlet	10.283500	120.5661	3.71018930e-03	no
14	singlet	10.430200	118.8704	7.51953717e-02	no
15	singlet	10.642900	116.4947	1.40991614e-01	no
16	singlet	10.678500	116.1064	3.02129951e-02	no
17	singlet	10.807600	114.7195	5.05691296e-02	no
18	singlet	10.834800	114.4315	2.65009020e-03	no
19	singlet	10.886700	113.8859	2.77651806e-02	no
20	singlet	11.044900	112.2547	3.69602000e-05	no
21	singlet	11.066700	112.0336	8.32110740e-03	no
22	singlet	11.190300	110.7961	2.75710639e-02	no
23	singlet	11.307000	109.6526	1.26069898e-01	no
24	singlet	11.369000	109.0546	3.12637357e-01	no
25	singlet	11.467500	108.1179	5.21537506e-02	no
26	singlet	11.518600	107.6382	1.82687438e-01	no
27	singlet	11.569000	107.1693	1.76461993e-02	no
28	singlet	11.743300	105.5787	8.62752041e-02	no
29	singlet	11.752300	105.4978	5.16738626e-02	no
30	singlet	11.873200	104.4236	2.99755033e-01	no
