root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	4.540600	273.0568	0.00000000e+00	yes
2	singlet	7.961800	155.7238	8.32385330e-03	yes
3	singlet	8.735600	141.9298	0.00000000e+00	yes
4	singlet	8.817600	140.6099	2.83553510e-03	yes
5	singlet	8.993100	137.8659	3.64394776e-02	yes
6	singlet	9.033100	137.2554	7.79479777e-02	yes
7	singlet	9.329700	132.8919	3.00000000e-10	yes
8	singlet	9.409600	131.7635	2.47715259e-02	yes
9	singlet	9.521900	130.2095	6.36658902e-02	yes
10	singlet	9.700200	127.8161	0.00000000e+00	yes
11	singlet	10.196300	121.5972	1.00000000e-10	no
12	singlet	10.348300	119.8112	7.43070110e-03	no
13	singlet	10.357600	119.7036	6.87908330e-03	no
14	singlet	10.495300	118.1331	1.04682248e-02	no
15	singlet	10.524600	117.8042	5.41654925e-02	no
16	singlet	10.633800	116.5944	1.82172248e-02	no
17	singlet	10.738200	115.4609	1.68150523e-01	no
18	singlet	10.891200	113.8389	7.60289400e-03	no
19	singlet	10.896300	113.7856	7.38655500e-04	no
20	singlet	10.997900	112.7344	3.53951805e-02	no
21	singlet	11.089200	111.8063	3.65226780e-03	no
22	singlet	11.206000	110.6409	6.52790000e-05	no
23	singlet	11.225800	110.4458	2.00000000e-10	no
24	singlet	11.245200	110.2552	2.04884830e-01	no
25	singlet	11.374900	108.9981	1.00000000e-10	no
26	singlet	11.512800	107.6925	1.72166833e-01	no
27	singlet	11.598500	106.8967	3.04666285e-02	no
28	singlet	11.707900	105.8979	1.30218579e-02	no
29	singlet	11.788500	105.1738	7.54282439e-02	no
30	singlet	11.852500	104.6059	5.36041200e-04	no
