root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	4.292700	288.8257	9.94283000e-05	yes
2	singlet	8.605700	144.0722	6.70771952e-02	yes
3	singlet	8.838200	140.2822	2.79912920e-03	yes
4	singlet	9.195200	134.8358	1.14261589e-01	yes
5	singlet	9.310400	133.1674	1.03236143e-01	yes
6	singlet	9.364000	132.4052	3.70387111e-02	yes
7	singlet	9.931000	124.8456	1.81418455e-02	yes
8	singlet	9.996000	124.0338	4.87948781e-02	yes
9	singlet	10.050700	123.3588	8.47987100e-03	no
10	singlet	10.201800	121.5317	1.71112079e-02	no
11	singlet	10.532900	117.7114	5.31918488e-02	no
12	singlet	10.627200	116.6668	2.36409040e-02	no
13	singlet	10.726600	115.5857	4.11957800e-02	no
14	singlet	10.775400	115.0623	3.06237770e-02	no
15	singlet	10.832800	114.4526	2.41255274e-02	no
16	singlet	10.849900	114.2722	1.48622960e-02	no
17	singlet	11.127900	111.4174	2.90268467e-02	no
18	singlet	11.180900	110.8893	1.84025995e-01	no
19	singlet	11.241800	110.2886	3.06303045e-01	no
20	singlet	11.335300	109.3788	1.75212485e-01	no
21	singlet	11.353100	109.2073	5.34648025e-02	no
22	singlet	11.469300	108.1009	7.53538550e-03	no
23	singlet	11.488900	107.9165	1.15473227e-01	no
24	singlet	11.524700	107.5813	3.89538122e-02	no
25	singlet	11.593200	106.9456	8.81212404e-02	no
26	singlet	11.667500	106.2646	3.84824147e-01	no
27	singlet	11.769300	105.3454	3.91849990e-02	no
28	singlet	11.871000	104.4429	2.79960101e-02	no
29	singlet	11.901300	104.1770	9.07693430e-03	no
30	singlet	11.954000	103.7177	9.25758080e-03	no
