root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	4.264700	290.7220	1.04137800e-04	yes
2	singlet	8.393800	147.7093	6.08055095e-02	yes
3	singlet	8.615800	143.9033	3.17649710e-03	yes
4	singlet	8.957100	138.4200	7.15894835e-02	yes
5	singlet	9.086500	136.4488	1.53282710e-01	yes
6	singlet	9.187600	134.9473	3.93435160e-03	yes
7	singlet	9.644100	128.5596	1.44160935e-02	yes
8	singlet	9.766000	126.9549	5.14589305e-02	yes
9	singlet	9.784200	126.7188	1.61781920e-02	yes
10	singlet	10.015000	123.7985	1.20449930e-02	no
11	singlet	10.330300	120.0199	7.39135879e-02	no
12	singlet	10.425600	118.9228	2.55950343e-02	no
13	singlet	10.486900	118.2277	3.08337405e-02	no
14	singlet	10.548200	117.5406	2.53284677e-02	no
15	singlet	10.606700	116.8923	1.61596626e-02	no
16	singlet	10.651900	116.3963	1.70784271e-02	no
17	singlet	10.860500	114.1607	1.74919180e-02	no
18	singlet	10.962700	113.0964	1.44931376e-01	no
19	singlet	11.036100	112.3442	2.23672170e-01	no
20	singlet	11.115900	111.5377	4.01627157e-02	no
21	singlet	11.146700	111.2295	2.20311227e-01	no
22	singlet	11.235400	110.3514	2.87378682e-02	no
23	singlet	11.282000	109.8956	7.80778286e-02	no
24	singlet	11.308100	109.6419	7.85771779e-02	no
25	singlet	11.392200	108.8325	6.31173335e-02	no
26	singlet	11.461400	108.1754	3.56625429e-01	no
27	singlet	11.548200	107.3624	3.36179907e-02	no
28	singlet	11.621600	106.6843	4.20797659e-02	no
29	singlet	11.668600	106.2546	8.03078320e-03	no
30	singlet	11.688100	106.0773	8.72530560e-03	no
