root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	4.491800	276.0234	3.26525530e-03	yes
2	singlet	5.342800	232.0585	1.06783294e-01	yes
3	singlet	5.493900	225.6761	2.89024000e-05	yes
4	singlet	5.615400	220.7932	1.69278990e-03	yes
5	singlet	5.927600	209.1642	6.02808297e-02	yes
6	singlet	6.346500	195.3584	5.60565130e-03	yes
7	singlet	6.824200	181.6831	1.98003500e-03	yes
8	singlet	7.087400	174.9361	3.44930714e-01	yes
9	singlet	7.419000	167.1171	4.54892768e-01	yes
10	singlet	7.781900	159.3238	5.52249500e-03	yes
11	singlet	7.906200	156.8189	5.03309600e-04	yes
12	singlet	7.920800	156.5299	9.63145534e-02	yes
13	singlet	7.981500	155.3395	3.19814390e-03	yes
14	singlet	8.155600	152.0234	1.73562857e-02	yes
15	singlet	8.560600	144.8312	1.34583000e-05	yes
16	singlet	8.663400	143.1126	6.31028400e-04	yes
17	singlet	8.684100	142.7715	4.92781326e-02	yes
18	singlet	8.805600	140.8015	3.91495739e-02	yes
19	singlet	9.031400	137.2813	1.35984150e-03	yes
20	singlet	9.125800	135.8612	2.99739451e-02	yes
21	singlet	9.304700	133.2490	3.32141327e-02	yes
22	singlet	9.391600	132.0160	1.63516210e-03	yes
23	singlet	9.567100	129.5943	2.93037649e-02	yes
24	singlet	9.747200	127.1998	1.81225870e-03	yes
25	singlet	9.772400	126.8718	1.53910410e-02	yes
26	singlet	9.802500	126.4822	6.15737500e-04	yes
27	singlet	9.865700	125.6720	2.99143770e-03	yes
28	singlet	9.892300	125.3340	1.95512910e-03	yes
29	singlet	9.968900	124.3710	1.66044120e-03	yes
30	singlet	10.024300	123.6836	5.46247800e-04	no
