root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	4.534100	273.4483	3.37050260e-03	yes
2	singlet	5.358000	231.4001	1.08685783e-01	yes
3	singlet	5.544200	223.6286	1.05689000e-05	yes
4	singlet	5.663600	218.9141	1.76523070e-03	yes
5	singlet	5.954400	208.2228	6.02117339e-02	yes
6	singlet	6.398000	193.7859	5.82561480e-03	yes
7	singlet	6.875200	180.3354	1.95982140e-03	yes
8	singlet	7.109700	174.3874	3.54379723e-01	yes
9	singlet	7.451800	166.3815	4.54043593e-01	yes
10	singlet	7.860700	157.7267	6.16486480e-03	yes
11	singlet	7.955400	155.8491	9.98293301e-02	yes
12	singlet	7.957400	155.8099	1.37984190e-03	yes
13	singlet	8.074600	153.5484	2.50667530e-03	yes
14	singlet	8.200400	151.1929	1.25978340e-02	yes
15	singlet	8.633200	143.6133	6.50230000e-06	yes
16	singlet	8.761400	141.5119	4.89876800e-04	yes
17	singlet	8.768000	141.4053	6.65159601e-02	yes
18	singlet	8.888100	139.4946	2.95082875e-02	yes
19	singlet	9.084300	136.4818	1.40017710e-03	yes
20	singlet	9.223800	134.4177	2.96510871e-02	yes
21	singlet	9.366300	132.3726	3.09399580e-02	yes
22	singlet	9.445500	131.2627	1.63484830e-03	yes
23	singlet	9.676400	128.1305	3.01273236e-02	yes
24	singlet	9.807800	126.4139	2.22429510e-03	yes
25	singlet	9.869400	125.6249	6.49768200e-04	yes
26	singlet	9.872400	125.5867	1.52387506e-02	yes
27	singlet	9.922000	124.9589	2.83758130e-03	yes
28	singlet	9.953000	124.5697	1.89861870e-03	yes
29	singlet	10.055100	123.3048	2.05580790e-03	no
30	singlet	10.102700	122.7238	3.72702000e-05	no
