root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	4.664800	265.7867	5.96225240e-03	yes
2	singlet	4.973500	249.2896	1.12000000e-08	yes
3	singlet	5.961100	207.9888	3.69600293e-02	yes
4	singlet	6.176500	200.7354	2.01000000e-08	yes
5	singlet	6.384600	194.1926	7.11022650e-03	yes
6	singlet	6.994700	177.2545	6.21436351e-02	yes
7	singlet	7.935400	156.2419	4.02206924e-01	yes
8	singlet	8.108900	152.8989	4.42243312e-01	yes
9	singlet	8.967100	138.2657	1.70300000e-07	yes
10	singlet	9.004100	137.6975	1.18827400e-04	yes
11	singlet	9.156800	135.4012	2.18709640e-03	yes
12	singlet	9.310400	133.1674	8.86231860e-03	yes
13	singlet	9.495200	130.5757	1.34232270e-03	yes
14	singlet	9.681900	128.0577	2.52370000e-06	yes
15	singlet	9.748700	127.1802	5.71003841e-02	yes
16	singlet	9.924100	124.9324	3.24205357e-02	yes
17	singlet	10.529800	117.7460	2.55900000e-07	no
18	singlet	10.565000	117.3537	3.40000000e-09	no
19	singlet	10.695000	115.9272	4.09290790e-03	no
20	singlet	10.707600	115.7908	4.12853000e-05	no
21	singlet	10.868800	114.0735	3.79278000e-05	no
22	singlet	10.882800	113.9267	1.62500000e-07	no
23	singlet	10.956500	113.1604	1.23076512e-02	no
24	singlet	10.969900	113.0222	2.10254000e-04	no
25	singlet	10.975200	112.9676	1.88467921e-02	no
26	singlet	11.156600	111.1308	1.54807376e-01	no
27	singlet	11.180300	110.8952	3.12000000e-07	no
28	singlet	11.417400	108.5923	4.05075910e-03	no
29	singlet	11.463900	108.1518	3.97563240e-03	no
30	singlet	11.627900	106.6265	1.53408000e-04	no
