root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	4.595200	269.8124	5.69583570e-03	yes
2	singlet	4.881400	253.9931	1.23000000e-08	yes
3	singlet	5.936700	208.8436	3.54188958e-02	yes
4	singlet	6.100600	203.2328	3.87000000e-08	yes
5	singlet	6.291200	197.0756	6.99528250e-03	yes
6	singlet	6.984300	177.5184	6.31613778e-02	yes
7	singlet	7.904800	156.8467	3.93881743e-01	yes
8	singlet	8.074400	153.5522	4.37102448e-01	yes
9	singlet	8.838800	140.2727	5.57087700e-04	yes
10	singlet	8.892100	139.4318	5.92400000e-07	yes
11	singlet	9.087200	136.4383	2.00468810e-03	yes
12	singlet	9.238900	134.1980	8.90104220e-03	yes
13	singlet	9.395900	131.9556	1.23142600e-03	yes
14	singlet	9.558500	129.7109	2.92330000e-06	yes
15	singlet	9.586000	129.3388	5.67639277e-02	yes
16	singlet	9.746000	127.2155	3.08159781e-02	yes
17	singlet	10.352300	119.7649	1.69000000e-08	no
18	singlet	10.433400	118.8339	2.62700000e-07	no
19	singlet	10.547300	117.5506	6.63931900e-04	no
20	singlet	10.580000	117.1873	3.80019870e-03	no
21	singlet	10.701900	115.8525	2.47316600e-04	no
22	singlet	10.768100	115.1403	2.00600000e-07	no
23	singlet	10.865300	114.1102	1.21891723e-02	no
24	singlet	10.871700	114.0431	3.54361268e-02	no
25	singlet	10.881700	113.9383	5.27459000e-05	no
26	singlet	10.990600	112.8093	1.28133166e-01	no
27	singlet	11.031800	112.3880	3.05400000e-07	no
28	singlet	11.325200	109.4764	3.60885220e-03	no
29	singlet	11.347100	109.2651	4.04972490e-03	no
30	singlet	11.532300	107.5104	5.12945700e-04	no
