root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	4.083900	303.5926	6.86845470e-03	yes
2	singlet	4.630000	267.7844	5.00000000e-10	yes
3	singlet	6.562900	188.9168	8.02238822e-02	yes
4	singlet	8.836800	140.3044	1.26177690e-03	yes
5	singlet	8.861000	139.9212	2.35000000e-08	yes
6	singlet	9.488800	130.6637	4.23495999e-02	yes
7	singlet	10.041500	123.4718	3.64806911e-02	no
8	singlet	10.081200	122.9856	9.86980130e-03	no
9	singlet	10.084700	122.9429	0.00000000e+00	no
10	singlet	11.041000	112.2944	2.56818230e-02	no
11	singlet	11.389800	108.8555	9.46228064e-02	no
12	singlet	12.221800	101.4451	5.09596976e-01	no
13	singlet	12.801600	96.8505	6.23892350e-02	no
14	singlet	13.521200	91.6961	1.56176627e-01	no
15	singlet	13.803400	89.8215	4.00000000e-10	no
16	singlet	13.844400	89.5555	4.04839289e-02	no
