root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	4.048600	306.2397	6.14120940e-03	yes
2	singlet	4.487300	276.3002	1.00000000e-10	yes
3	singlet	6.504000	190.6276	6.70498711e-02	yes
4	singlet	8.544900	145.0973	1.17233040e-03	yes
5	singlet	8.576400	144.5644	4.60000000e-09	yes
6	singlet	9.065600	136.7634	4.70411435e-02	yes
7	singlet	9.637300	128.6503	7.36711090e-03	yes
8	singlet	9.731600	127.4037	1.28914267e-02	yes
9	singlet	9.842800	125.9644	1.00000000e-10	yes
10	singlet	10.635400	116.5769	2.49050619e-02	no
11	singlet	10.859700	114.1691	1.08729491e-01	no
12	singlet	11.681300	106.1390	4.46824016e-01	no
13	singlet	12.106200	102.4138	6.35281315e-02	no
14	singlet	12.911700	96.0247	1.29107792e-01	no
15	singlet	12.927000	95.9110	3.00000000e-10	no
16	singlet	13.235400	93.6762	3.11231543e-02	no
