root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	5.127900	241.7836	3.67116000e-05	yes
2	singlet	5.388800	230.0776	1.80174999e-01	yes
3	singlet	6.477300	191.4134	1.47541000e-05	yes
4	singlet	6.783200	182.7813	7.40859411e-02	yes
5	singlet	6.920700	179.1498	1.81996445e-01	yes
6	singlet	7.019100	176.6383	1.30246000e-05	yes
7	singlet	7.215800	171.8232	1.18491400e-04	yes
8	singlet	7.431900	166.8270	9.04410000e-06	yes
9	singlet	7.979900	155.3706	3.87369323e-01	yes
10	singlet	8.224400	150.7517	1.02951800e-04	yes
11	singlet	8.507900	145.7283	3.43540294e-02	yes
12	singlet	8.758200	141.5636	5.70874270e-03	yes
13	singlet	8.847300	140.1379	2.08955500e-04	yes
14	singlet	8.865800	139.8455	4.65205050e-03	yes
15	singlet	8.875100	139.6989	5.87554417e-02	yes
16	singlet	8.986300	137.9702	9.19735023e-02	yes
17	singlet	9.021100	137.4380	1.80455350e-03	yes
18	singlet	9.172200	135.1739	5.53038910e-03	yes
19	singlet	9.360600	132.4533	1.01047913e-02	yes
20	singlet	9.451100	131.1849	1.11484902e-02	yes
21	singlet	9.530200	130.0961	4.29422050e-03	yes
22	singlet	9.597400	129.1852	1.13374082e-01	yes
23	singlet	9.767800	126.9315	1.69039956e-01	yes
24	singlet	9.878500	125.5091	7.27132896e-02	yes
25	singlet	9.947300	124.6411	2.76672750e-03	yes
26	singlet	10.015700	123.7898	4.68791220e-03	no
27	singlet	10.153800	122.1062	1.19802100e-04	no
28	singlet	10.193500	121.6306	2.13976930e-03	no
29	singlet	10.376000	119.4913	4.37930960e-03	no
30	singlet	10.514300	117.9196	1.92761200e-04	no
