root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	5.234200	236.8732	3.62395000e-05	yes
2	singlet	5.490700	225.8076	2.00013927e-01	yes
3	singlet	6.586300	188.2456	1.15675000e-05	yes
4	singlet	7.018400	176.6559	5.14335746e-02	yes
5	singlet	7.093000	174.7980	2.33560103e-01	yes
6	singlet	7.213800	171.8708	1.15046000e-05	yes
7	singlet	7.591900	163.3112	2.59804400e-04	yes
8	singlet	7.738300	160.2215	1.15918000e-05	yes
9	singlet	8.131500	152.4740	3.73645062e-01	yes
10	singlet	8.451700	146.6973	8.62135000e-05	yes
11	singlet	8.898500	139.3316	2.60530076e-02	yes
12	singlet	8.990000	137.9135	5.35458730e-03	yes
13	singlet	9.086800	136.4443	9.84592000e-05	yes
14	singlet	9.118500	135.9699	9.65521220e-03	yes
15	singlet	9.121000	135.9327	8.92169301e-02	yes
16	singlet	9.212200	134.5870	9.46429200e-04	yes
17	singlet	9.362500	132.4264	7.75233481e-02	yes
18	singlet	9.452400	131.1669	5.20625220e-03	yes
19	singlet	9.769000	126.9160	4.32736791e-02	yes
20	singlet	9.783200	126.7317	9.21493407e-02	yes
21	singlet	9.884800	125.4291	1.19078334e-02	yes
22	singlet	9.894400	125.3074	3.88389740e-03	yes
23	singlet	10.056800	123.2839	1.55263690e-01	no
24	singlet	10.194100	121.6235	1.99339300e-03	no
25	singlet	10.259600	120.8470	6.94861860e-03	no
26	singlet	10.272000	120.7011	7.89984916e-02	no
27	singlet	10.455600	118.5816	2.85286780e-03	no
28	singlet	10.578300	117.2062	7.85619100e-04	no
29	singlet	10.636200	116.5681	5.87625930e-03	no
30	singlet	10.744600	115.3921	1.55938970e-03	no
