root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	2.976236	416.5806	2.86378660e-01	yes
2	singlet	3.312853	374.2520	8.10713582e-18	yes
3	singlet	3.554648	348.7946	1.32488394e-06	yes
4	singlet	3.657359	338.9992	1.62029503e-17	yes
5	singlet	4.773789	259.7187	4.67032032e-17	yes
6	singlet	4.855892	255.3273	4.52430625e-01	yes
7	singlet	4.990092	248.4607	1.80869526e-01	yes
8	singlet	5.242197	236.5119	3.35840879e-17	yes
9	singlet	5.641807	219.7597	2.23834082e-16	yes
10	singlet	5.800001	213.7658	6.32851602e-01	yes
11	singlet	5.868121	211.2843	6.35527652e-05	yes
12	singlet	5.909605	209.8011	8.13008153e-17	yes
13	singlet	5.927489	209.1681	9.77233067e-02	yes
14	singlet	6.000334	206.6288	2.76627269e-16	yes
15	singlet	6.202850	199.8826	3.43356059e-04	yes
16	singlet	6.256876	198.1567	5.79208002e-15	yes
17	singlet	6.548743	189.3252	8.34785992e-04	yes
18	singlet	6.573202	188.6207	1.06406400e-01	yes
19	singlet	6.734738	184.0965	5.43147524e-16	yes
20	singlet	6.781987	182.8140	1.29787443e-15	yes
21	singlet	6.823267	181.7080	3.93136354e-02	yes
22	singlet	6.997357	177.1872	5.57001837e-01	yes
23	singlet	7.003925	177.0210	2.52561663e-16	yes
24	singlet	7.029138	176.3861	1.80875123e-02	yes
25	singlet	7.045464	175.9773	1.89632256e-14	yes
26	singlet	7.192217	172.3866	1.78795647e-14	yes
27	singlet	7.225475	171.5931	7.15737033e-16	yes
28	singlet	7.257087	170.8457	1.65807175e-03	yes
29	singlet	7.257733	170.8305	1.71938076e-14	yes
30	singlet	7.276133	170.3985	3.34441667e-04	yes
