state	energy_eV	wavelength_nm	oscillator_strength
1	2.976236	416.5806	2.86378660e-01
2	3.312853	374.2520	8.10713582e-18
3	3.554648	348.7946	1.32488394e-06
4	3.657359	338.9992	1.62029503e-17
5	4.773789	259.7187	4.67032032e-17
6	4.855892	255.3273	4.52430625e-01
7	4.990092	248.4607	1.80869526e-01
8	5.242197	236.5119	3.35840879e-17
9	5.641807	219.7597	2.23834082e-16
10	5.800001	213.7658	6.32851602e-01
11	5.868121	211.2843	6.35527652e-05
12	5.909605	209.8011	8.13008153e-17
13	5.927489	209.1681	9.77233067e-02
14	6.000334	206.6288	2.76627269e-16
15	6.202850	199.8826	3.43356059e-04
16	6.256876	198.1567	5.79208002e-15
17	6.548743	189.3252	8.34785992e-04
18	6.573202	188.6207	1.06406400e-01
19	6.734738	184.0965	5.43147524e-16
20	6.781987	182.8140	1.29787443e-15
21	6.823267	181.7080	3.93136354e-02
22	6.997357	177.1872	5.57001837e-01
23	7.003925	177.0210	2.52561663e-16
24	7.029138	176.3861	1.80875123e-02
25	7.045464	175.9773	1.89632256e-14
26	7.192217	172.3866	1.78795647e-14
27	7.225475	171.5931	7.15737033e-16
28	7.257087	170.8457	1.65807175e-03
29	7.257733	170.8305	1.71938076e-14
30	7.276133	170.3985	3.34441667e-04
