root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	5.130900	241.6422	7.80195000e-05	yes
2	singlet	5.590700	221.7686	1.78291358e-01	yes
3	singlet	6.457100	192.0122	8.71420000e-06	yes
4	singlet	6.815300	181.9204	4.51441656e-02	yes
5	singlet	7.213400	171.8804	1.57556888e-01	yes
6	singlet	7.253400	170.9325	5.00183000e-04	yes
7	singlet	7.364900	168.3447	1.53420300e-04	yes
8	singlet	7.513600	165.0130	9.74070000e-06	yes
9	singlet	8.010400	154.7790	4.04228772e-01	yes
10	singlet	8.620200	143.8298	1.01002447e-02	yes
11	singlet	8.631700	143.6382	4.82343917e-02	yes
12	singlet	8.889300	139.4758	1.78436000e-05	yes
13	singlet	9.082800	136.5044	3.82069016e-02	yes
14	singlet	9.209800	134.6220	2.04278002e-01	yes
15	singlet	9.280200	133.6008	9.25478000e-05	yes
16	singlet	9.342500	132.7099	5.12428700e-03	yes
17	singlet	9.409400	131.7663	1.15653810e-02	yes
18	singlet	9.469800	130.9259	1.03405400e-03	yes
19	singlet	9.658700	128.3653	2.65819270e-03	yes
20	singlet	9.774600	126.8432	7.75199300e-04	yes
21	singlet	10.044100	123.4398	5.13101874e-02	no
22	singlet	10.130400	122.3883	2.57444579e-02	no
23	singlet	10.265000	120.7834	5.45388099e-02	no
24	singlet	10.388800	119.3441	7.40354535e-02	no
25	singlet	10.437300	118.7895	1.91664200e-03	no
26	singlet	10.562700	117.3793	3.65790730e-03	no
27	singlet	10.576600	117.2250	1.70701890e-03	no
28	singlet	10.603200	116.9309	2.12349680e-03	no
29	singlet	10.841500	114.3607	1.46863450e-03	no
30	singlet	10.954800	113.1780	5.16666661e-02	no
