root	spin	energy_eV	wavelength_nm	oscillator_strength	below_10eV
1	singlet	5.191800	238.8077	7.95093000e-05	yes
2	singlet	5.643000	219.7133	1.88935105e-01	yes
3	singlet	6.518600	190.2006	8.84000000e-06	yes
4	singlet	6.951900	178.3458	4.80366079e-02	yes
5	singlet	7.307300	169.6717	1.67597432e-01	yes
6	singlet	7.357900	168.5049	5.11875900e-04	yes
7	singlet	7.558700	164.0285	2.86598200e-04	yes
8	singlet	7.685900	161.3138	1.12850000e-06	yes
9	singlet	8.086600	153.3205	4.02716666e-01	yes
10	singlet	8.729100	142.0355	1.08235232e-02	yes
11	singlet	8.846600	140.1490	4.42520935e-02	yes
12	singlet	9.009100	137.6211	4.55770000e-06	yes
13	singlet	9.285300	133.5274	2.30787182e-02	yes
14	singlet	9.323500	132.9803	2.24918822e-01	yes
15	singlet	9.439000	131.3531	2.89187000e-05	yes
16	singlet	9.456800	131.1059	4.54358450e-03	yes
17	singlet	9.560200	129.6879	1.67712160e-03	yes
18	singlet	9.631900	128.7225	1.04583944e-02	yes
19	singlet	9.853900	125.8225	2.84827990e-03	yes
20	singlet	9.901900	125.2125	5.17973000e-04	yes
21	singlet	10.187600	121.7011	4.80484283e-02	no
22	singlet	10.338600	119.9236	3.84673321e-02	no
23	singlet	10.429000	118.8841	3.05975621e-02	no
24	singlet	10.554700	117.4682	1.70582280e-03	no
25	singlet	10.569800	117.3004	8.85149495e-02	no
26	singlet	10.708200	115.7843	7.98971930e-03	no
27	singlet	10.744800	115.3899	2.23534500e-04	no
28	singlet	10.765900	115.1638	3.47273070e-03	no
29	singlet	11.023200	112.4757	1.42170200e-03	no
30	singlet	11.162500	111.0721	5.64793180e-02	no
