material	diameter_nm	peak_nm	cabs_nm2
Ag	10.0	406.00	2.955937e+02
Ag	10.5	406.50	3.418468e+02
Ag	11.0	406.50	3.926536e+02
Ag	11.5	406.50	4.480829e+02
Ag	12.0	406.50	5.082700e+02
Ag	12.5	407.00	5.735026e+02
Ag	13.0	407.00	6.440014e+02
Ag	13.5	407.00	7.196685e+02
Ag	14.0	407.00	8.005697e+02
Ag	14.5	407.50	8.874031e+02
Ag	15.0	407.50	9.797010e+02
Ag	15.5	407.50	1.077443e+03
Ag	16.0	408.00	1.181469e+03
Ag	16.5	408.00	1.291151e+03
Ag	17.0	408.50	1.406385e+03
Ag	17.5	408.50	1.528261e+03
Ag	18.0	408.50	1.655571e+03
Ag	18.5	409.00	1.788942e+03
Ag	19.0	409.00	1.928446e+03
Ag	19.5	409.50	2.073112e+03
Ag	20.0	409.50	2.224682e+03
Ag	20.5	409.50	2.381010e+03
Ag	21.0	410.00	2.543761e+03
Ag	21.5	410.00	2.711434e+03
Ag	22.0	410.50	2.884867e+03
Ag	22.5	410.50	3.063272e+03
Ag	23.0	411.00	3.246872e+03
Ag	23.5	411.00	3.435190e+03
Ag	24.0	411.50	3.628325e+03
Ag	24.5	411.50	3.825530e+03
Ag	25.0	412.00	4.027443e+03
Ag	25.5	412.00	4.232299e+03
Ag	26.0	412.50	4.442114e+03
Ag	26.5	413.00	4.653449e+03
Ag	27.0	413.00	4.869905e+03
Ag	27.5	413.50	5.087596e+03
Ag	28.0	413.50	5.308077e+03
Ag	28.5	414.00	5.530987e+03
Ag	29.0	414.50	5.753918e+03
Ag	29.5	414.50	5.980513e+03
Ag	30.0	415.00	6.206825e+03
Ag	30.5	415.00	6.432839e+03
Ag	31.0	415.50	6.661193e+03
Ag	31.5	416.00	6.888005e+03
Ag	32.0	416.00	7.113463e+03
Ag	32.5	416.50	7.340297e+03
Ag	33.0	417.00	7.564653e+03
Ag	33.5	417.50	7.786238e+03
Ag	34.0	417.50	8.007739e+03
Ag	34.5	418.00	8.226702e+03
Ag	35.0	418.50	8.442034e+03
Ag	35.5	419.00	8.653487e+03
Ag	36.0	419.00	8.864214e+03
Ag	36.5	419.50	9.070518e+03
Ag	37.0	420.00	9.272184e+03
Ag	37.5	420.50	9.469018e+03
Ag	38.0	420.50	9.662427e+03
Ag	38.5	421.00	9.851822e+03
Ag	39.0	421.50	1.003575e+04
Ag	39.5	422.00	1.021408e+04
Ag	40.0	422.50	1.038667e+04
Ag	40.5	423.00	1.055342e+04
Ag	41.0	423.00	1.071618e+04
Ag	41.5	423.50	1.087287e+04
