diameter_nm	wavelength_nm	qabs	cabs_nm2
35.0	300.0	6.40825106e-01	6.16546005e+02
35.0	300.5	6.34068139e-01	6.10045041e+02
35.0	301.0	6.27601564e-01	6.03823467e+02
35.0	301.5	6.21414872e-01	5.97871172e+02
35.0	302.0	6.15498057e-01	5.92178528e+02
35.0	302.5	6.09841593e-01	5.86736373e+02
35.0	303.0	6.04436415e-01	5.81535982e+02
35.0	303.5	5.99273894e-01	5.76569054e+02
35.0	304.0	5.94345817e-01	5.71827688e+02
35.0	304.5	5.89644371e-01	5.67304368e+02
35.0	305.0	5.85162123e-01	5.62991939e+02
35.0	305.5	5.80891999e-01	5.58883598e+02
35.0	306.0	5.76827271e-01	5.54972872e+02
35.0	306.5	5.72961541e-01	5.51253604e+02
35.0	307.0	5.69288721e-01	5.47719937e+02
35.0	307.5	5.65803023e-01	5.44366303e+02
35.0	308.0	5.62498946e-01	5.41187408e+02
35.0	308.5	5.59371256e-01	5.38178217e+02
35.0	309.0	5.56414981e-01	5.35333947e+02
35.0	309.5	5.53625395e-01	5.32650051e+02
35.0	310.0	5.50998008e-01	5.30122209e+02
35.0	310.5	5.48528556e-01	5.27746317e+02
35.0	311.0	5.46212989e-01	5.25518481e+02
35.0	311.5	5.44047462e-01	5.23435000e+02
35.0	312.0	5.42028329e-01	5.21492366e+02
35.0	312.5	5.40152129e-01	5.19687251e+02
35.0	313.0	5.38415584e-01	5.18016498e+02
35.0	313.5	5.36815585e-01	5.16477119e+02
35.0	314.0	5.35349191e-01	5.15066282e+02
35.0	314.5	5.34013617e-01	5.13781309e+02
35.0	315.0	5.32806231e-01	5.12619668e+02
35.0	315.5	5.31724547e-01	5.11578966e+02
35.0	316.0	5.30766219e-01	5.10656946e+02
35.0	316.5	5.29929034e-01	5.09851480e+02
35.0	317.0	5.29210912e-01	5.09160566e+02
35.0	317.5	5.28609893e-01	5.08582318e+02
35.0	318.0	5.28124143e-01	5.08114971e+02
35.0	318.5	5.27751939e-01	5.07756869e+02
35.0	319.0	5.27491672e-01	5.07506464e+02
35.0	319.5	5.27341843e-01	5.07362311e+02
35.0	320.0	5.27301055e-01	5.07323068e+02
35.0	320.5	5.27368014e-01	5.07387490e+02
35.0	321.0	5.27541524e-01	5.07554427e+02
35.0	321.5	5.27820485e-01	5.07822818e+02
35.0	322.0	5.28203889e-01	5.08191696e+02
35.0	322.5	5.28690819e-01	5.08660178e+02
35.0	323.0	5.29280446e-01	5.09227465e+02
35.0	323.5	5.29972026e-01	5.09892843e+02
35.0	324.0	5.30764899e-01	5.10655677e+02
35.0	324.5	5.31658489e-01	5.11515411e+02
35.0	325.0	5.32652297e-01	5.12471566e+02
35.0	325.5	5.33745905e-01	5.13523740e+02
35.0	326.0	5.34938971e-01	5.14671605e+02
35.0	326.5	5.36231230e-01	5.15914903e+02
35.0	327.0	5.37622491e-01	5.17253453e+02
35.0	327.5	5.39112636e-01	5.18687141e+02
35.0	328.0	5.40701623e-01	5.20215926e+02
35.0	328.5	5.42389479e-01	5.21839833e+02
35.0	329.0	5.44176302e-01	5.23558959e+02
35.0	329.5	5.46062264e-01	5.25373467e+02
35.0	330.0	5.48047605e-01	5.27283588e+02
35.0	330.5	5.50132635e-01	5.29289623e+02
35.0	331.0	5.52317735e-01	5.31391935e+02
35.0	331.5	5.54603355e-01	5.33590959e+02
35.0	332.0	5.56990014e-01	5.35887194e+02
35.0	332.5	5.59478302e-01	5.38281207e+02
35.0	333.0	5.62068877e-01	5.40773633e+02
