# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.2,6.106226635438361e-16,-4.9718899852262276e-18,9.872394013399344e-10
0.3,5.551115123125783e-16,-7.243624910753734e-18,3.5856773106246465e-09
0.4,1.609823385706477e-15,-2.7251899229717018e-18,7.653230937876287e-09
0.5,2.1649348980190553e-15,-6.0151227769214736e-18,1.3465703219139868e-08
0.6,2.6645352591003757e-15,-9.216747202917324e-18,2.064300264059682e-08
0.7,3.4416913763379853e-15,-2.7742707714946393e-18,2.881334282278658e-08
0.8,3.497202527569243e-15,-1.3897798335581874e-18,3.815121585315495e-08
0.9,4.3298697960381105e-15,-4.3692921741041945e-18,4.836493583404433e-08
1.0,4.6074255521944e-15,1.07755525712271e-18,5.899188204594452e-08
1.1,5.051514762044462e-15,5.243185961152644e-18,7.013585356929752e-08
1.2,5.162537064506978e-15,2.815292459394444e-18,8.168392806595648e-08
1.3,5.717648576819556e-15,7.249954562677679e-18,9.324424288248423e-08
1.4,5.9396931817445875e-15,1.4574319303291133e-17,1.0488983182010969e-07
1.5,6.106226635438361e-15,1.3970224862219395e-17,1.1670995769819115e-07
1.6,6.5503158452884236e-15,1.5707465644330618e-17,1.2849853048280124e-07
1.7,6.494804694057166e-15,2.3500050172853504e-17,1.4031316819540507e-07
1.8,6.827871601444713e-15,2.6971072911421113e-17,1.5237571671100625e-07
1.9,6.772360450213455e-15,3.097895623466499e-17,1.646900226193182e-07
2.0,6.6058269965196814e-15,4.166110283670148e-17,1.7727831846947595e-07
2.1,6.716849298982197e-15,5.0044026860223733e-17,1.9035003906431314e-07
2.2,6.827871601444713e-15,5.60818281308958e-17,2.0405241252241524e-07
2.3,6.938893903907228e-15,6.7932914073967e-17,2.1833680086125185e-07
2.4,6.938893903907228e-15,8.177442807075604e-17,2.3323748088444063e-07
2.5,7.382983113757291e-15,9.364570944164789e-17,2.4892942596110856e-07
2.6,7.494005416219807e-15,1.078355758781186e-16,2.652807562508741e-07
2.7,7.93809462606987e-15,1.2515651064015846e-16,2.8204311697255235e-07
2.8,8.104628079763643e-15,1.4166553953942224e-16,2.9931443479291886e-07
2.9,7.66053886991358e-15,1.5716420160900272e-16,3.1692345214828777e-07
3.0,7.716050021144838e-15,1.7452818264589192e-16,3.343411165701582e-07
3.1,7.882583474838611e-15,1.9186495258050727e-16,3.515414838117792e-07
3.2,8.271161533457416e-15,2.0607053534225612e-16,3.6841819839317225e-07
3.3,8.715250743307479e-15,2.1998025300715299e-16,3.842809614962306e-07
3.4,9.658940314238862e-15,2.3603175844735873e-16,3.99002529016812e-07
3.5,1.0158540675320182e-14,2.4883012386848476e-16,4.126725858810687e-07
3.6,1.0269562977782698e-14,2.5587483245738295e-16,4.2463249383395407e-07
3.7,1.0935696792557792e-14,2.631001998390005e-16,4.347181514763321e-07
3.8,1.1546319456101628e-14,2.673985511927547e-16,4.433141174153832e-07
3.9,1.2045919817182948e-14,2.6324174331382233e-16,4.4998207093804865e-07
4.0,1.2156942119645464e-14,2.593396790954479e-16,4.5457839292772917e-07
4.1,1.2601031329495527e-14,2.573702988096602e-16,4.5779236035325965e-07
4.2,1.3433698597964394e-14,2.4671265584027386e-16,4.595139116991831e-07
4.3,1.354472090042691e-14,2.3256262007120815e-16,4.5962814920752493e-07
4.4,1.3933298959045715e-14,2.226551828428312e-16,4.5902602696656913e-07
4.5,1.4099832412739488e-14,2.0529554021461922e-16,4.579122705461458e-07
4.6,1.3822276656583199e-14,1.8092413045687908e-16,4.561488103904665e-07
4.7,1.3988810110276972e-14,1.6136287071735249e-16,4.5463777365029046e-07
4.8,1.4099832412739488e-14,1.3659266009055734e-16,4.537766458145853e-07
4.9,1.4099832412739488e-14,1.024570634211392e-16,4.5331877396304066e-07
5.0,1.3822276656583199e-14,7.620507832914649e-17,4.5396744563497293e-07
5.1,1.3877787807814457e-14,5.335066760079729e-17,4.561413429193806e-07
5.2,1.3655743202889425e-14,2.1917315908766983e-17,4.5941628323831196e-07
5.3,1.3322676295501878e-14,-3.019824224796328e-18,4.641494155688264e-07
5.4,1.3156142841808105e-14,-1.7807487417664858e-17,4.7063616304132694e-07
5.5,1.2712053631958042e-14,-3.851040620152882e-17,4.782680724790822e-07
5.6,1.2212453270876722e-14,-5.642451631864516e-17,4.870311911542302e-07
5.7,1.1934897514720433e-14,-6.13028836647486e-17,4.970390699021721e-07
5.8,1.1435297153639112e-14,-6.7655595841144e-17,5.075697748768704e-07
5.9,1.071365218763276e-14,-7.223597267451906e-17,5.183447420176179e-07
