# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.1,-8.881784197001252e-16,-1.3973042170620845e-17,5.1029537897484545e-06
0.2,-2.220446049250313e-15,-1.4037660771321968e-17,1.9555330790343994e-05
0.3,-2.6645352591003757e-15,1.6581874299326864e-17,3.7852426032269904e-05
0.4,-3.774758283725532e-15,2.5885245158208797e-17,5.6499867399084636e-05
0.5,-4.6629367034256575e-15,2.8095684396380094e-17,7.516823998443556e-05
0.6,-4.884981308350689e-15,6.65362030287384e-17,9.198639141738685e-05
0.7,-5.773159728050814e-15,1.0077446318921342e-16,0.00010808296439590581
0.8,-6.217248937900877e-15,1.1130586688013705e-16,0.0001241171306893829
0.9,-6.661338147750939e-15,1.4975994140336344e-16,0.00013809391307928465
1.0,-6.439293542825908e-15,2.0419387705311524e-16,0.00015031909329066284
1.1,-6.8833827526759706e-15,2.296351102084907e-16,0.00016222927668263498
1.2,-7.327471962526033e-15,2.6441609444820583e-16,0.00017223390914256065
1.3,-6.8833827526759706e-15,3.2995493258900315e-16,0.00017970715695525552
1.4,-7.327471962526033e-15,3.743809057942464e-16,0.00018644257347522064
1.5,-6.661338147750939e-15,4.0654744789098943e-16,0.00019167729853597493
1.6,-6.661338147750939e-15,4.72196550885931e-16,0.00019401198916690898
1.7,-6.217248937900877e-15,5.342960395270089e-16,0.00019508604478735148
1.8,-6.217248937900877e-15,5.684490064731642e-16,0.00019516659643015188
1.9,-6.439293542825908e-15,6.254991592328043e-16,0.0001924631383798392
2.0,-5.551115123125783e-15,6.985620376265345e-16,0.00018800220012182844
2.1,-5.551115123125783e-15,7.40037881030452e-16,0.00018300669506221556
2.2,-4.6629367034256575e-15,7.844196756056112e-16,0.00017579565533643038
2.3,-4.218847493575595e-15,8.577619983215413e-16,0.00016650388089223256
2.4,-3.774758283725532e-15,9.09110735850355e-16,0.00015697966806760277
2.5,-3.3306690738754696e-15,9.420796508405224e-16,0.00014613090173754006
2.6,-3.1086244689504383e-15,1.004617982761063e-15,0.00013317819699798505
2.7,-2.4424906541753444e-15,1.0635525528807863e-15,0.00012009922502553838
2.8,-2.220446049250313e-15,1.089992102494806e-15,0.0001067139869135314
2.9,-1.3322676295501878e-15,1.1336361929680981e-15,9.156735199267185e-05
