# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.1,8.449995850812186e-06,-1.622302878267513e-17,3.2644453806796037e-10
0.2,3.249482751921384e-05,-2.1780050240587708e-17,1.2571551577522655e-09
0.3,6.315531707401512e-05,6.301199133624394e-19,2.7166817684332045e-09
0.4,9.45663956899434e-05,-2.5021715548980134e-18,4.707985445939755e-09
0.5,0.00012624429885566002,-1.6491583065728624e-17,7.1765314801908175e-09
0.6,0.00015542678246460717,3.3499775273402173e-18,1.0165315700305655e-08
0.7,0.00018401529702627428,1.5509843449652164e-17,1.3620324867957834e-08
0.8,0.00021296189461739168,7.844021242086848e-20,1.7432403409678443e-08
0.9,0.00023923278318771501,1.0386629550302172e-17,2.1638747793595314e-08
1.0,0.0002635356379607767,3.43120146083486e-17,2.621510419853479e-08
1.1,0.00028798684166386757,2.5683705544368755e-17,3.100159584601414e-08
1.2,0.00031000877130216153,2.4186853350304866e-17,3.600037412621049e-08
1.3,0.0003289078877184437,5.2155067269670976e-17,4.124273023098368e-08
1.4,0.00034740650782572047,5.646234021450507e-17,4.6551569377051294e-08
1.5,0.00036400182909313017,4.6501616650237057e-17,5.186119444999804e-08
1.6,0.0003767481113687854,6.967796259686164e-17,5.725685503499278e-08
1.7,0.00038826964106219997,8.808373223952736e-17,6.259879026249138e-08
1.8,0.0003984945625277181,7.685294093531786e-17,6.773992833331022e-08
1.9,0.0004046943828914795,8.862625599363195e-17,7.278511504615892e-08
2.0,0.00040872321160323466,1.1659095568442796e-16,7.768438181621207e-08
2.1,0.0004119455825535301,1.120495536895843e-16,8.223124048356567e-08
2.2,0.0004115234504138421,1.1083607277014684e-16,8.649608251865004e-08
2.3,0.0004080693807355651,1.4008990281486608e-16,9.054276517428406e-08
2.4,0.0004040382204990589,1.4758785704461657e-16,9.416185786648157e-08
2.5,0.00039719115251646286,1.3732601905711428e-16,9.734152117690797e-08
2.6,0.00038674682417672024,1.5898708170293125e-16,1.0023955010485253e-07
