# # polarizability field in atomic units, damped with signal_damped = signal * exp(-t/tau) where tau = 200

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.1,8.445771908960243e-06,-1.621491929582445e-17,3.262813565976936e-10
0.2,3.246234893369394e-05,-2.175828107674314e-17,1.2558986309626187e-09
0.3,6.306065511262426e-05,6.291754420229887e-19,2.7126098005199837e-09
0.4,9.43774519053294e-05,-2.497172212796766e-18,4.698578884744591e-09
0.5,0.00012592908229339898,-1.645040560134138e-17,7.158612559474007e-09
0.6,0.00015496120083883816,3.33994265459347e-18,1.0134865451415756e-08
0.7,0.00018337236926658373,1.5455653884635663e-17,1.3572737058166329e-08
0.8,0.00021211174846475528,7.812707825702481e-20,1.7362813069507168e-08
0.9,0.00023815865426603602,1.0339994724380378e-17,2.154159219257645e-08
1.0,0.0002622212484829776,3.414088272154847e-17,2.6084355820878596e-08
1.1,0.0002864072618610295,2.5542832918711517e-17,3.0831555109530533e-08
1.2,0.00030815428768863663,2.4042166724141146e-17,3.578501859411572e-08
1.3,0.00032677691959744537,5.181715872490743e-17,4.0975521852507836e-08
1.4,0.00034498315390501665,5.60684839382157e-17,4.6226846248314205e-08
1.5,0.000361282027380413,4.615415911980504e-17,5.147369044805365e-08
1.6,0.00037374615033242234,6.912276265690974e-17,5.680062753791189e-08
1.7,0.0003849833356972454,8.733819354370744e-17,6.20689555329037e-08
1.8,0.0003949242021864043,7.616436769434746e-17,6.713300423349175e-08
1.9,0.000400867990395981,8.778829318719216e-17,7.209693050550198e-08
2.0,0.0004046563476972085,1.1543085629202452e-16,7.691140930204766e-08
2.1,0.00040764278316540243,1.1087918854555979e-16,8.137232963168954e-08
2.2,0.0004070214985889163,1.0962355703240849e-16,8.55498394888733e-08
2.3,0.0004034034633045196,1.3848809696930345e-16,8.950748763025408e-08
2.4,0.0003992187365901915,1.4582738670769603e-16,9.303866818839609e-08
2.5,0.0003922571647778382,1.3562012785100578e-16,9.613232538061935e-08
2.6,0.0003817516544143211,1.5693362602213768e-16,9.894486961007113e-08
2.7,0.0003706024304288736,1.7632372590005217e-16,1.0133744543379241e-07
2.8,0.00035775259576663457,1.646847731332013e-16,1.0320251293457684e-07
2.9,0.00034126231032029116,1.7271886896371995e-16,1.0473030216239687e-07
3.0,0.000323787434072228,1.9902446107652943e-16,1.0590447789158589e-07
3.1,0.00030569930149534463,1.9366291160435232e-16,1.0654957746406223e-07
3.2,0.00028439022838979664,1.878042515147603e-16,1.0681469811964795e-07
3.3,0.00026162712028667565,2.1259858455970473e-16,1.0681956501715543e-07
3.4,0.0002391330209098323,2.1820308784162954e-16,1.0638476235308642e-07
3.5,0.0002143087057739372,2.032569647922916e-16,1.0555891288059882e-07
3.6,0.0001876172364159167,2.1830467485910953e-16,1.045608822971548e-07
3.7,0.00016172427848559184,2.3437803547084236e-16,1.0328107329718137e-07
3.8,0.00013471587323665428,2.1824318014857092e-16,1.0164946789665241e-07
3.9,0.00010566768860870038,2.1869786706389925e-16,9.990881319708227e-08
4.0,7.75481811008368e-05,2.397341088525375e-16,9.807151064668738e-08
4.1,4.9635295657377495e-05,2.302309283210441e-16,9.598005028176679e-08
4.2,1.9883477114249058e-05,2.1679734657326633e-16,9.381598154708219e-08
4.3,-9.14750139606057e-06,2.3456942143796513e-16,9.172103272158749e-08
4.4,-3.6779009771799175e-05,2.359172081781633e-16,8.951797208124168e-08
4.5,-6.563107373442588e-05,2.1424439608445298e-16,8.726504969928148e-08
4.6,-9.415920110362594e-05,2.2107449225377713e-16,8.519082203226357e-08
4.7,-0.00012042598796996761,2.3221373309996323e-16,8.317487248173806e-08
4.8,-0.00014693763204236615,2.1070314069988716e-16,8.113657497872891e-08
4.9,-0.00017351681255798013,2.0292346067061282e-16,7.93142663519199e-08
5.0,-0.00019742489132279926,2.1814273720238381e-16,7.76985584853749e-08
5.1,-0.00022039830190450277,2.0461065870668485e-16,7.610588750124042e-08
5.2,-0.0002436382570791706,1.8414881294241512e-16,7.470188007386995e-08
5.3,-0.00026426406563192096,1.9550055265753727e-16,7.3598451558042e-08
5.4,-0.00028278398154625665,1.937874106395701e-16,7.258159435499415e-08
5.5,-0.0003014479949688332,1.6726833958893539e-16,7.168738434990174e-08
5.6,-0.0003179299718379279,1.6790207105727613e-16,7.111164699578822e-08
5.7,-0.00033136420849531683,1.7642146819187627e-16,7.069053152308235e-08
5.8,-0.00034446310392171063,1.5253221644990365e-16,7.032024393341835e-08
5.9,-0.00035601585707389146,1.397462721536148e-16,7.021058675686239e-08
6.0,-0.00036398609256919526,1.524193517789257e-16,7.030610218511709e-08
6.1,-0.0003708538400992773,1.386688436570431e-16,7.040214348634318e-08
6.2,-0.00037680958155336826,1.1531479386032118e-16,7.064754408735881e-08
6.3,-0.00037914746983677163,1.2426309965370126e-16,7.111041814854339e-08
6.4,-0.0003794866235410143,1.2378032593771102e-16,7.155775054767743e-08
6.5,-0.0003793598391600247,9.711312525024495e-17,7.202618427257394e-08
6.6,-0.000376065219954061,9.609876057977367e-17,7.267631043624045e-08
6.7,-0.00036995600514508293,1.0653724838417757e-16,7.332474588292401e-08
6.8,-0.00036351952676806057,8.521354060791745e-17,7.388703353393865e-08
6.9,-0.0003547348768301073,7.229914916229157e-17,7.455364805910227e-08
7.0,-0.00034260875394039763,8.703484630269992e-17,7.524563622211134e-08
7.1,-0.0003299644421422036,7.792878052700584e-17,7.579207244231639e-08
7.2,-0.0003159734175117559,5.669673783658651e-17,7.634543421742614e-08
