# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.1,-1.1102230246251565e-15,1.503064629229314e-08,2.854020353382225e-10
0.2,-1.9984014443252818e-15,6.009913131008276e-08,1.1220814277734803e-09
0.3,-3.1086244689504383e-15,1.2010448283559586e-07,2.657913333869999e-09
0.4,-3.3306690738754696e-15,1.7992242087881566e-07,4.788924590215515e-09
0.5,-4.218847493575595e-15,2.394596034885355e-07,7.491591791364272e-09
0.6,-4.884981308350689e-15,2.986231273614047e-07,1.0723209653562549e-08
0.7,-5.329070518200751e-15,3.573206722422455e-07,1.4455396768475737e-08
0.8,-5.329070518200751e-15,4.1546064482657096e-07,1.86535578095004e-08
0.9,-6.217248937900877e-15,4.7295232195135e-07,2.3258596826281064e-08
1.0,-6.661338147750939e-15,5.297059921520584e-07,2.8221335379718937e-08
1.1,-6.8833827526759706e-15,5.856330953871494e-07,3.349911958938634e-08
1.2,-6.661338147750939e-15,6.40646361399387e-07,3.9025492282185326e-08
1.3,-7.105427357601002e-15,6.946599460534756e-07,4.4736061299843755e-08
1.4,-7.105427357601002e-15,7.475895650228493e-07,5.058327501306081e-08
1.5,-6.661338147750939e-15,7.99352625314776e-07,5.6502603040797794e-08
1.6,-6.8833827526759706e-15,8.498683544158429e-07,6.242275929491115e-08
1.7,-6.8833827526759706e-15,8.990579261669409e-07,6.829467702473835e-08
1.8,-6.8833827526759706e-15,9.46844583605578e-07,7.40636862950339e-08
1.9,-5.995204332975845e-15,9.93153759005648e-07,7.966138726445138e-08
2.0,-6.439293542825908e-15,1.037913190237111e-06,8.504087611882483e-08
2.1,-5.773159728050814e-15,1.0810530332651362e-06,9.01627777993852e-08
2.2,-5.329070518200751e-15,1.1225059712981484e-06,9.497112352097048e-08
2.3,-4.884981308350689e-15,1.162207319997897e-06,9.942514778149558e-08
2.4,-4.440892098500626e-15,1.2000951281579793e-06,1.035031511609219e-07
2.5,-3.9968028886505635e-15,1.2361102743694236e-06,1.0716917786535163e-07
2.6,-3.1086244689504383e-15,1.2701965595377006e-06,1.1039263214662753e-07
2.7,-2.4424906541753444e-15,1.302300794428518e-06,1.1316895875967958e-07
2.8,-1.5543122344752192e-15,1.3323728824989554e-06,1.1548644474057568e-07
2.9,-1.1102230246251565e-15,1.3603658983212318e-06,1.1732824423127397e-07
3.0,-1.1102230246251565e-15,1.386236160822851e-06,1.1870417548909273e-07
3.1,-2.220446049250313e-16,1.4099433011902054e-06,1.1962688839517455e-07
3.2,4.440892098500626e-16,1.4314503260004629e-06,1.2009574867910544e-07
3.3,1.3322676295501878e-15,1.4507236751193543e-06,1.2013092010043636e-07
3.4,1.9984014443252818e-15,1.4677332738280861e-06,1.1976549785241986e-07
3.5,2.886579864025407e-15,1.4824525797246122e-06,1.1901571406180977e-07
3.6,3.552713678800501e-15,1.4948586243961233e-06,1.1790779275155927e-07
3.7,4.6629367034256575e-15,1.5049320491330059e-06,1.1648819986387338e-07
3.8,5.10702591327572e-15,1.5126571349567456e-06,1.1478838379819223e-07
3.9,5.773159728050814e-15,1.5180218273779736e-06,1.1283688983176887e-07
4.0,6.8833827526759706e-15,1.521017755246276e-06,1.1068480298970229e-07
4.1,7.549516567451064e-15,1.5216402435579128e-06,1.0837474750946541e-07
4.2,8.881784197001252e-15,1.5198883208595697e-06,1.0593481347687117e-07
4.3,9.547918011776346e-15,1.5157647209514824e-06,1.0341204270680748e-07
4.4,1.0436096431476471e-14,1.5092758783995775e-06,1.0085421286998297e-07
4.5,1.0658141036401503e-14,1.500431918438458e-06,9.828717884019511e-08
4.6,1.1546319456101628e-14,1.489246641425122e-06,9.574701054226864e-08
4.7,1.199040866595169e-14,1.4757375012106714e-06,9.327954419990903e-08
4.8,1.3100631690576847e-14,1.4599255777067998e-06,9.090734576222559e-08
4.9,1.3322676295501878e-14,1.4418355442048933e-06,8.865150336045957e-08
5.0,1.3988810110276972e-14,1.4214956289487814e-06,8.65489879764425e-08
5.1,1.3988810110276972e-14,1.3989375708323532e-06,8.461836309425763e-08
5.2,1.4432899320127035e-14,1.3741965699530546e-06,8.286510244648326e-08
5.3,1.4876988529977098e-14,1.3473112328962088e-06,8.131190309956793e-08
5.4,1.4876988529977098e-14,1.318323512290667e-06,7.9972604871692e-08
5.5,1.4876988529977098e-14,1.287278641256103e-06,7.883954111775893e-08
5.6,1.4876988529977098e-14,1.254225063080508e-06,7.791833378512081e-08
5.7,1.532107773982716e-14,1.2192143555668645e-06,7.721726424936293e-08
5.8,1.5765166949677223e-14,1.1823011503278662e-06,7.672014423754092e-08
5.9,1.5765166949677223e-14,1.143543047736255e-06,7.64159372446116e-08
6.0,1.5987211554602254e-14,1.1030005271524507e-06,7.630653386936359e-08
6.1,1.5765166949677223e-14,1.0607368522884373e-06,7.637269527904778e-08
6.2,1.532107773982716e-14,1.0168179725392706e-06,7.659028489204189e-08
6.3,1.509903313490213e-14,9.713124203117033e-07,7.695431691878696e-08
6.4,1.4654943925052066e-14,9.24291203891821e-07,7.744745533777575e-08
6.5,1.3988810110276972e-14,8.758276965173894e-07,7.803839752185127e-08
6.6,1.3322676295501878e-14,8.259975221534395e-07,7.871553697746947e-08
6.7,1.2656542480726785e-14,7.748784374479949e-07,7.946683189263837e-08
6.8,1.2434497875801753e-14,7.225502101463498e-07,8.026080633438681e-08
6.9,1.176836406102666e-14,6.690944948073575e-07,8.108054272426557e-08
7.0,1.1102230246251565e-14,6.145947055234922e-07,8.192053824185308e-08
7.1,9.992007221626409e-15,5.591358854805875e-07,8.275566354409847e-08
7.2,9.325873406851315e-15,5.028045742791497e-07,8.356606973070058e-08
7.3,8.43769498715119e-15,4.456886731550469e-07,8.43519546434024e-08
7.4,7.771561172376096e-15,3.87877307624875e-07,8.509913418386361e-08
7.5,6.217248937900877e-15,3.2946068825793873e-07,8.578797872083044e-08
7.6,5.10702591327572e-15,2.7052997018848947e-07,8.642201876352118e-08
7.7,3.9968028886505635e-15,2.1117711085134012e-07,8.69997196506489e-08
7.8,2.886579864025407e-15,1.514947262131961e-07,8.750498103893278e-08
7.9,2.220446049250313e-15,9.157594643660429e-08,8.794165573533519e-08
8.0,8.881784197001252e-16,3.151427071514561e-08,8.831937137188106e-08
8.1,0.0,-2.859657891423841e-08,8.862825295885557e-08
8.2,-1.1102230246251565e-15,-8.866280380596715e-08,8.886975122468499e-08
8.3,-1.9984014443252818e-15,-1.4859067479240614e-07,8.906046577994431e-08
8.4,-2.886579864025407e-15,-2.0828667862826058e-07,8.919808791585382e-08
8.5,-4.440892098500626e-15,-2.676576640798933e-07,8.927997863228399e-08
8.6,-5.329070518200751e-15,-3.2661098699135663e-07,8.932391060145761e-08
8.7,-5.995204332975845e-15,-3.8505465485694336e-07,8.933468642613462e-08
8.8,-7.105427357601002e-15,-4.428974706533627e-07,8.930528139217131e-08
8.9,-7.993605777301127e-15,-5.000491749615176e-07,8.924872763049763e-08
9.0,-8.43769498715119e-15,-5.564205866339946e-07,8.91746656517256e-08
9.1,-9.769962616701378e-15,-6.119237422439571e-07,8.907271897840019e-08
9.2,-1.0436096431476471e-14,-6.664720333396252e-07,8.894664094150073e-08
9.3,-1.0658141036401503e-14,-7.199803413004716e-07,8.88073088400887e-08
9.4,-1.1324274851176597e-14,-7.723651703343312e-07,8.864292722066125e-08
9.5,-1.1546319456101628e-14,-8.235447779428768e-07,8.8445953561056e-08
9.6,-1.2212453270876722e-14,-8.734393021836753e-07,8.822446528888861e-08
9.7,-1.2656542480726785e-14,-9.219708862841333e-07,8.796747830164264e-08
9.8,-1.2656542480726785e-14,-9.690638004165538e-07,8.765716397185486e-08
9.9,-1.2878587085651816e-14,-1.0146445596937909e-06,8.72954452058039e-08
10.0,-1.2656542480726785e-14,-1.058642038652601e-06,8.687407537788516e-08
10.1,-1.2878587085651816e-14,-1.1009875825208503e-06,8.636876380752057e-08
10.2,-1.1546319456101628e-14,-1.141615114355924e-06,8.577363241890623e-08
10.3,-1.176836406102666e-14,-1.1804612378646301e-06,8.508439230947573e-08
10.4,-1.199040866595169e-14,-1.2174653364917675e-06,8.427603803706774e-08
10.5,-1.199040866595169e-14,-1.252569668193342e-06,8.333562295792518e-08
10.6,-1.1324274851176597e-14,-1.285719455263105e-06,8.226322900650729e-08
10.7,-1.0436096431476471e-14,-1.3168629697905923e-06,8.103947590765159e-08
10.8,-1.021405182655144e-14,-1.3459516146641697e-06,7.964753034883643e-08
10.9,-9.325873406851315e-15,-1.3729399992510756e-06,7.809165170069576e-08
11.0,-8.881784197001252e-15,-1.397786010036647e-06,7.63635620293357e-08
11.1,-7.771561172376096e-15,-1.420450876606792e-06,7.444762106789682e-08
11.2,-7.105427357601002e-15,-1.4408992321772522e-06,7.23518163159298e-08
11.3,-5.551115123125783e-15,-1.4590991685012833e-06,7.008238134265099e-08
11.4,-5.10702591327572e-15,-1.4750222858002178e-06,6.763071058735193e-08
11.5,-3.774758283725532e-15,-1.4886437372777383e-06,6.500821159161063e-08
11.6,-2.6645352591003757e-15,-1.4999422676378536e-06,6.223623538748058e-08
11.7,-1.3322676295501878e-15,-1.508900246210323e-06,5.9318386202988904e-08
11.8,-6.661338147750939e-16,-1.5155036947427064e-06,5.6269546577780716e-08
11.9,6.661338147750939e-16,-1.5197423090905803e-06,5.312391426759433e-08
12.0,1.5543122344752192e-15,-1.5216094750923828e-06,4.9900395038271483e-08
12.1,2.6645352591003757e-15,-1.52110227913498e-06,4.66177138003232e-08
12.2,3.774758283725532e-15,-1.5182215127596035e-06,4.3318303166728356e-08
12.3,4.884981308350689e-15,-1.5129716711485063e-06,4.003636011606915e-08
12.4,5.773159728050814e-15,-1.505360946216432e-06,3.679480042872996e-08
12.5,7.105427357601002e-15,-1.4954012140418615e-06,3.3638317575857e-08
12.6,7.771561172376096e-15,-1.4831080161015236e-06,3.0612911317007274e-08
12.7,8.659739592076221e-15,-1.4685005349413537e-06,2.7745488351271774e-08
12.8,9.992007221626409e-15,-1.451601564521232e-06,2.5076824949898935e-08
12.9,1.0880185641326534e-14,-1.4324374745565862e-06,2.2658193543634297e-08
13.0,1.2212453270876722e-14,-1.4110381691424368e-06,2.051919179013595e-08
13.1,1.2656542480726785e-14,-1.3874370403121498e-06,1.8691377445811952e-08
13.2,1.354472090042691e-14,-1.3616709160252325e-06,1.722284947991426e-08
13.3,1.3766765505351941e-14,-1.3337800024177157e-06,1.6143158920733924e-08
13.4,1.4654943925052066e-14,-1.3038078211337772e-06,1.5470975722742253e-08
13.5,1.4876988529977098e-14,-1.271801141652662e-06,1.524248349760171e-08
13.6,1.509903313490213e-14,-1.2378099080919691e-06,1.5483058612986156e-08
13.7,1.6209256159527285e-14,-1.2018871611596314e-06,1.6196756491559938e-08
13.8,1.6653345369377348e-14,-1.1640889556725713e-06,1.7400573093517835e-08
13.9,1.6653345369377348e-14,-1.1244742730310312e-06,1.9110690696599875e-08
14.0,1.687538997430238e-14,-1.0831049289290208e-06,2.1316665321791106e-08
14.1,1.7541523789077473e-14,-1.0400454771047855e-06,2.4011985733096708e-08
14.2,1.7763568394002505e-14,-9.953631087419223e-07,2.719867175926538e-08
14.3,1.7319479184152442e-14,-9.491275473334293e-07,3.085331612417974e-08
14.4,1.7541523789077473e-14,-9.014109399273102e-07,3.494543610038647e-08
14.5,1.7541523789077473e-14,-8.522877448159412e-07,3.945914883729529e-08
14.6,1.687538997430238e-14,-8.018346151470091e-07,4.436050460299157e-08
14.7,1.7319479184152442e-14,-7.501302791669229e-07,4.9598569140663074e-08
14.8,1.709743457922741e-14,-6.972554176690277e-07,5.5138172250224216e-08
14.9,1.7541523789077473e-14,-6.432925380694958e-07,6.093766602432993e-08
15.0,1.687538997430238e-14,-5.88325845381907e-07,6.693248022493492e-08
15.1,1.6209256159527285e-14,-5.324411110245486e-07,7.306993687894447e-08
15.2,1.5765166949677223e-14,-4.7572553914455867e-07,7.930366474617756e-08
15.3,1.554312234475219e-14,-4.1826763024250154e-07,8.556430552975058e-08
15.4,1.4654943925052066e-14,-3.6015704309512734e-07,9.178679116761401e-08
15.5,1.4654943925052066e-14,-3.014844551435816e-07,9.79230952991017e-08
15.6,1.3766765505351941e-14,-2.4234142080005576e-07,1.0390830973427967e-07
15.7,1.3322676295501878e-14,-1.8282022841041592e-07,1.0967294405972439e-07
15.8,1.2434497875801753e-14,-1.230137565517148e-07,1.1517055864551651e-07
15.9,1.199040866595169e-14,-6.301532909015213e-08,1.2034877117095277e-07
16.0,1.1102230246251565e-14,-2.918569253287502e-09,1.2514326153123534e-07
16.1,1.0880185641326534e-14,5.718274626655526e-08,1.2951273253847262e-07
16.2,1.0436096431476471e-14,1.1719483346172487e-07,1.3342300586582923e-07
16.3,8.659739592076221e-15,1.770240476640879e-07,1.3682450150653835e-07
16.4,7.549516567451064e-15,2.3657702966773475e-07,1.3968491807681005e-07
16.5,7.105427357601002e-15,2.9576085110330764e-07,1.419909149147358e-07
16.6,6.439293542825908e-15,3.544831596416335e-07,1.4371541856572634e-07
16.7,5.551115123125783e-15,4.1265232329707467e-07,1.4483899946071688e-07
16.8,4.440892098500626e-15,4.701775731042045e-07,1.453687481500765e-07
16.9,3.552713678800501e-15,5.269691447573961e-07,1.453045200827674e-07
17.0,3.1086244689504383e-15,5.829384189964991e-07,1.4464312658724054e-07
17.1,2.886579864025407e-15,6.379980597043457e-07,1.4340916643096335e-07
17.2,2.4424906541753444e-15,6.920621499940412e-07,1.4162960726427087e-07
17.3,1.9984014443252818e-15,7.45046326587307e-07,1.3931961007074278e-07
17.4,4.440892098500626e-16,7.968679114676013e-07,1.3651673980152879e-07
17.5,0.0,8.474460405810922e-07,1.3327090708781242e-07
17.6,-8.881784197001252e-16,8.967017902035606e-07,1.296157197128167e-07
17.7,-8.881784197001252e-16,9.44558300297584e-07,1.2559651452193066e-07
17.8,-1.3322676295501878e-15,9.909408941430878e-07,1.212783828918873e-07
17.9,-1.5543122344752192e-15,1.0357771948495708e-06,1.1671092770004776e-07
18.0,-2.220446049250313e-15,1.078997238607845e-06,1.119422395889913e-07
18.1,-1.9984014443252818e-15,1.120533583689239e-06,1.07042677277569e-07
18.2,-3.1086244689504383e-15,1.1603214154767866e-06,1.0207271994300271e-07
18.3,-2.6645352591003757e-15,1.1982986479005096e-06,9.707888981580481e-08
18.4,-2.6645352591003757e-15,1.2344060203418443e-06,9.212657725576889e-08
18.5,-2.6645352591003757e-15,1.2685871897934334e-06,8.727979072808978e-08
18.6,-2.4424906541753444e-15,1.3007888189395963e-06,8.258005601557983e-08
18.7,-2.4424906541753444e-15,1.3309606595942715e-06,7.807903612544465e-08
18.8,-2.220446049250313e-15,1.3590556308201598e-06,7.383570788110916e-08
18.9,-1.3322676295501878e-15,1.3850298923572646e-06,6.988397138751878e-08
19.0,-1.1102230246251565e-15,1.4088429133386805e-06,6.62559124231521e-08
19.1,-6.661338147750939e-16,1.4304575353863234e-06,6.299708643631163e-08
19.2,-6.661338147750939e-16,1.449840030375989e-06,6.013175080088473e-08
19.3,2.220446049250313e-16,1.4669601533438908e-06,5.767022315250614e-08
19.4,6.661338147750939e-16,1.481791189730152e-06,5.563795901775137e-08
19.5,1.1102230246251565e-15,1.4943099967600857e-06,5.404800584862812e-08
19.6,1.9984014443252818e-15,1.5044970396887143e-06,5.2890367863156484e-08
19.7,3.1086244689504383e-15,1.5123364225076881e-06,5.2166757358307336e-08
19.8,3.9968028886505635e-15,1.5178159124847879e-06,5.187791074501291e-08
