# # polarizability field in atomic units, damped with signal_damped = signal * exp(-t/tau) where tau = 200

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.1,-1.1096680518675954e-15,1.5023132847664682e-08,2.852593699898627e-10
0.2,-1.996404041748695e-15,6.003906221832432e-08,1.120959907199454e-09
0.3,-3.1039650277015945e-15,1.1992446116135222e-07,2.6539294525271786e-09
0.4,-3.324014392627194e-15,1.7956293564212314e-07,4.779356312502223e-09
0.5,-4.2083135477603546e-15,2.388617021678719e-07,7.472886203613042e-09
0.6,-4.870348324875586e-15,2.977286004405968e-07,1.0691088230827027e-08
0.7,-5.31045137389662e-15,3.560722359273938e-07,1.4404891315885743e-08
0.8,-5.3077968119054736e-15,4.138021215052711e-07,1.8579092607952402e-08
0.9,-6.1893341730074825e-15,4.7082881796993884e-07,2.3154168281012763e-08
1.0,-6.628114585134452e-15,5.270640724944392e-07,2.8080580882302298e-08
1.1,-6.845628068092078e-15,5.824209548462743e-07,3.331538017820167e-08
1.2,-6.621489783502201e-15,6.368139918367804e-07,3.879204038454042e-08
1.3,-7.059391857235992e-15,6.901592993519238e-07,4.4446219906405967e-08
1.4,-7.0558630435843036e-15,7.423747113495145e-07,5.0230428491583344e-08
1.5,-6.6115649942797625e-15,7.933799063182462e-07,5.608041868830097e-08
1.6,-6.828535372693541e-15,8.430965309905703e-07,6.192536943274364e-08
1.7,-6.825121958431872e-15,8.914483204349954e-07,6.771663243981988e-08
1.8,-6.8217102504507284e-15,9.383612147755253e-07,7.340010371914643e-08
1.9,-5.938519570749159e-15,9.837634727773502e-07,7.890818744924309e-08
2.0,-6.375221501536882e-15,1.0275857814403204e-06,8.419470526332611e-08
2.1,-5.712858685395035e-15,1.0697613614350048e-06,8.92210215054051e-08
2.2,-5.270771972345234e-15,1.1102260688991626e-06,9.393216590526104e-08
2.3,-4.82912580800445e-15,1.1489184930266305e-06,9.828830793999184e-08
2.4,-4.387919862400527e-15,1.1857800488763127e-06,1.0226853585417941e-07
2.5,-3.9471538057811154e-15,1.2207550659296436e-06,1.0583790095700152e-07
2.6,-3.068473895036844e-15,1.2537908722770163e-06,1.0896681581506663e-07
2.7,-2.4097386041022205e-15,1.2848378736363837e-06,1.1165144408764423e-07
2.8,-1.5327034774337353e-15,1.3138496274746505e-06,1.1388089955433038e-07
2.9,-1.0942409408935897e-15,1.3407829125514326e-06,1.1563925942210462e-07
3.0,-1.0936939571804667e-15,1.365597793136102e-06,1.1693690055504247e-07
3.1,-2.1862944937816774e-16,1.3882576777658101e-06,1.1778696784590137e-07
3.2,4.3704032395521126e-16,1.4087293731190997e-06,1.1818950729760108e-07
3.3,1.3104655752425108e-15,1.4269831325670567e-06,1.1816502316954326e-07
3.4,1.9647157593536828e-15,1.4429926988926033e-06,1.1774669285076242e-07
3.5,2.8365041568103493e-15,1.4567353417338454e-06,1.1695105750211247e-07
3.6,3.4893369344441566e-15,1.4681918897666058e-06,1.1580443945196003e-07
3.7,4.577465421468667e-15,1.4773467569279754e-06,1.1435297984943208e-07
3.8,5.010908428545355e-15,1.4841879629688897e-06,1.126279932079927e-07
3.9,5.661673635449853e-15,1.488707148763585e-06,1.1065788482564265e-07
4.0,6.747082642035587e-15,1.4908995857684186e-06,1.0849309704572576e-07
4.1,7.396327035310259e-15,1.4907641795192907e-06,1.0617568261325336e-07
4.2,8.697211524916955e-15,1.4883034678133223e-06,1.0373337836468061e-07
4.3,9.344828806584126e-15,1.4835236133030128e-06,1.0121241452245086e-07
4.4,1.0209009426144638e-14,1.4764343900427241e-06,9.865964890383691e-08
4.5,1.0421010584522637e-14,1.4670491645775735e-06,9.610041071124348e-08
4.6,1.128378483010959e-14,1.4553848717501257e-06,9.35699613364036e-08
