# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.1,-6.661338147750939e-16,-1.6342861419429783e-17,5.102953759550388e-06
0.2,-1.5543122344752192e-15,-2.20340036395401e-17,1.955533082054206e-05
0.3,-3.1086244689504383e-15,2.993840394129871e-19,3.785242603249195e-05
0.4,-3.552713678800501e-15,-3.150825125956347e-18,5.649986738276436e-05
0.5,-4.218847493575595e-15,-1.755654891919002e-17,7.516823995257216e-05
0.6,-5.551115123125783e-15,1.9860864902417446e-18,9.198639131247077e-05
0.7,-5.995204332975845e-15,1.3760380724211246e-17,0.00010808296420850017
0.8,-6.8833827526759706e-15,-2.2284095818090856e-18,0.00012411713045501482
0.9,-7.993605777301127e-15,7.635225714789981e-18,0.0001380939127579861
1.0,-8.659739592076221e-15,3.118581854850016e-17,0.00015031909283802491
1.1,-9.325873406851315e-15,2.2064107361989704e-17,0.00016222927615083815
1.2,-9.769962616701378e-15,2.0134772248456192e-17,0.00017223390853327025
1.3,-1.021405182655144e-14,4.778697226434268e-17,0.00017970715620041489
1.4,-1.021405182655144e-14,5.160179689797381e-17,0.0001864425726143537
1.5,-1.0436096431476471e-14,4.10301812571359e-17,0.0001916772976273684
1.6,-1.176836406102666e-14,6.371490882214817e-17,0.00019401198814195109
1.7,-1.199040866595169e-14,8.158938705851402e-17,0.00019508604364659732
1.8,-1.176836406102666e-14,6.96923122008501e-17,0.00019516659527607505
1.9,-1.2434497875801753e-14,8.091000621699408e-17,0.00019246313717991015
2.0,-1.2434497875801753e-14,1.0839677321857447e-16,0.00018800219882531
2.1,-1.3322676295501878e-14,1.0320587005673846e-16,0.00018300669378712442
2.2,-1.2878587085651816e-14,1.0133872738448389e-16,0.00017579565411052211
2.3,-1.2656542480726785e-14,1.3005208134347305e-16,0.00016650387962291457
2.4,-1.2212453270876722e-14,1.3691963145541665e-16,0.0001569796668456913
2.5,-1.2656542480726785e-14,1.2596772027379113e-16,0.00014613090066117884
2.6,-1.2212453270876722e-14,1.471092675930673e-16,0.0001331781959638123
2.7,-1.199040866595169e-14,1.6630165812119992e-16,0.00012009922405975537
2.8,-1.1324274851176597e-14,1.5390302054114677e-16,0.00010671398616868277
2.9,-1.1546319456101628e-14,1.616035507430492e-16,9.156735139326244e-05
3.0,-1.1102230246251565e-14,1.8800377523454901e-16,7.624059099198277e-05
3.1,-1.021405182655144e-14,1.821501707411766e-16,6.154105236255702e-05
3.2,-9.992007221626409e-15,1.7583119550028015e-16,4.5768598176954e-05
3.3,-9.325873406851315e-15,2.0087489870550633e-16,2.9696155626757204e-05
3.4,-8.659739592076221e-15,2.0635758418712755e-16,1.4922129616179447e-05
3.5,-7.771561172376096e-15,1.90869748491016e-16,2.073701099725156e-09
3.6,-7.549516567451064e-15,2.0612201454602723e-16,-1.5285801128972487e-05
3.7,-6.439293542825908e-15,2.2250042962350064e-16,-2.896801395213533e-05
3.8,-4.6629367034256575e-15,2.0598774190215906e-16,-4.180446651835812e-05
3.9,-3.9968028886505635e-15,2.0648135208037196e-16,-5.492332858636484e-05
4.0,-3.3306690738754696e-15,2.2810258475439893e-16,-6.649869553243537e-05
4.1,-2.6645352591003757e-15,2.1843452160903957e-16,-7.637049821396236e-05
4.2,-1.7763568394002505e-15,2.0478330606822346e-16,-8.623709333677176e-05
4.3,-8.881784197001252e-16,2.232635511189687e-16,-9.4906408998785e-05
4.4,0.0,2.2502143099519023e-16,-0.00010132376458193981
4.5,6.661338147750939e-16,2.0322653906790405e-16,-0.00010726881169642599
4.6,1.1102230246251565e-15,2.1080435352577326e-16,-0.00011249962019488358
4.7,2.4424906541753444e-15,2.2292252992007776e-16,-0.00011534730474616062
4.8,3.1086244689504383e-15,2.0153271672730455e-16,-0.00011716812029682888
4.9,3.9968028886505635e-15,1.9432066328596497e-16,-0.00011872959957959228
5.0,4.6629367034256575e-15,2.1083034804196068e-16,-0.00011820679374108245
5.1,5.10702591327572e-15,1.9773145771774128e-16,-0.00011615262968178719
5.2,5.329070518200751e-15,1.7750292506921134e-16,-0.00011413006801186398
5.3,5.773159728050814e-15,1.9013503065645354e-16,-0.00011066657493752352
5.4,6.217248937900877e-15,1.8932910585653307e-16,-0.00010536179067877072
5.5,6.439293542825908e-15,1.6288664022743936e-16,-0.00010014562754401268
5.6,6.661338147750939e-15,1.6452235322012721e-16,-9.431478087107426e-05
5.7,7.549516567451064e-15,1.7434518107095608e-16,-8.663636667938235e-05
5.8,7.105427357601002e-15,1.5071133821525283e-16,-7.888229365016208e-05
5.9,7.105427357601002e-15,1.3857467974331575e-16,-7.132662350950447e-05
6.0,7.327471962526033e-15,1.528199262368556e-16,-6.226055550051512e-05
6.1,7.105427357601002e-15,1.397327217203662e-16,-5.2820972535672084e-05
6.2,6.661338147750939e-15,1.1672441528799674e-16,-4.419942747602157e-05
6.3,6.661338147750939e-15,1.2722678311121854e-16,-3.470302534835934e-05
6.4,6.439293542825908e-15,1.2793223930893993e-16,-2.453546619263225e-05
6.5,5.551115123125783e-15,1.0144800399566328e-16,-1.5492919907877933e-05
6.6,5.329070518200751e-15,1.0159563448260892e-16,-6.387186869294403e-06
6.7,4.884981308350689e-15,1.136511352059897e-16,3.549255877532964e-06
6.8,4.6629367034256575e-15,9.268147530618057e-17,1.2396130354419554e-05
6.9,3.9968028886505635e-15,8.042022872971853e-17,2.0488488043812758e-05
7.0,3.552713678800501e-15,9.688537456386891e-17,2.9333858833080484e-05
7.1,2.6645352591003757e-15,8.848914999442703e-17,3.740386787365324e-05
7.2,2.220446049250313e-15,6.74072655223334e-17,4.407040003784335e-05
7.3,1.5543122344752192e-15,8.00474684345504e-17,5.1145939517605044e-05
7.4,8.881784197001252e-16,8.652199970382435e-17,5.790325341537006e-05
7.5,-2.220446049250313e-16,6.434391695596179e-17,6.291104445188545e-05
7.6,-8.881784197001252e-16,6.687255459891671e-17,6.776962228716155e-05
7.7,-1.5543122344752192e-15,8.469221141927481e-17,7.27424446976821e-05
7.8,-2.220446049250313e-15,7.010149123689586e-17,7.598126823504803e-05
7.9,-2.886579864025407e-15,6.112493892156871e-17,7.841929664431646e-05
8.0,-3.1086244689504383e-15,8.274236318644433e-17,8.122836639268272e-05
8.1,-3.774758283725532e-15,8.204766371115693e-17,8.26488810420356e-05
8.2,-4.6629367034256575e-15,6.577880237992617e-17,8.268094111063551e-05
8.3,-5.329070518200751e-15,8.28145038481616e-17,8.307371011884168e-05
8.4,-5.551115123125783e-15,9.709236514185685e-17,8.264090145415626e-05
8.5,-6.8833827526759706e-15,8.126493623509983e-17,8.044648823946066e-05
8.6,-6.8833827526759706e-15,8.771432091225777e-17,7.832922072614767e-05
8.7,-7.549516567451064e-15,1.124008969809618e-16,7.600521359585333e-05
8.8,-8.881784197001252e-15,1.0531854064183707e-16,7.186308665951824e-05
8.9,-9.547918011776346e-15,1.004007119743404e-16,6.732220954930312e-05
9.0,-1.021405182655144e-14,1.2726035873292304e-16,6.308308887337244e-05
9.1,-1.1546319456101628e-14,1.3411301140103324e-16,5.731098981454075e-05
9.2,-1.2212453270876722e-14,1.222834653012351e-16,5.0616978948592184e-05
9.3,-1.2656542480726785e-14,1.4265677486898366e-16,4.4497892310757514e-05
9.4,-1.2878587085651816e-14,1.6339666652992548e-16,3.7413079658765724e-05
9.5,-1.3100631690576847e-14,1.525637463056169e-16,2.9004268152110768e-05
9.6,-1.2878587085651816e-14,1.6100395026530998e-16,2.1158514976304943e-05
9.7,-1.3988810110276972e-14,1.9008400833751244e-16,1.3068087126200112e-05
9.8,-1.4210854715202004e-14,1.8801746073906695e-16,3.516654327295754e-06
9.9,-1.4432899320127035e-14,1.8430668181164432e-16,-5.730165414163935e-06
10.0,-1.4210854715202004e-14,2.129364589610104e-16,-1.4509274298024621e-05
10.1,-1.4432899320127035e-14,2.2393010391191365e-16,-2.4542815032946308e-05
10.2,-1.4210854715202004e-14,2.1304763321382942e-16,-3.466213952418862e-05
10.3,-1.4210854715202004e-14,2.326692273595808e-16,-4.3762960456272815e-05
10.4,-1.4654943925052066e-14,2.5553512505799794e-16,-5.357849654563651e-05
10.5,-1.4432899320127035e-14,2.455017680279002e-16,-6.384501284140143e-05
10.6,-1.4210854715202004e-14,2.513664607600441e-16,-7.280671743459255e-05
10.7,-1.4432899320127035e-14,2.7992597433265205e-16,-8.170893949521751e-05
10.8,-1.4210854715202004e-14,2.7815300422288764e-16,-9.124853554587364e-05
10.9,-1.354472090042691e-14,2.7088301207035704e-16,-9.948839545659283e-05
11.0,-1.354472090042691e-14,2.9617074523627923e-16,-0.00010682241596660091
11.1,-1.3322676295501878e-14,3.0633037311559946e-16,-0.00011469709040035081
