# # polarizability field in atomic units, damped with signal_damped = signal * exp(-t/tau) where tau = 200

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.1,-6.658008311205571e-16,-1.6334692031237312e-17,5.100402920433535e-06
0.2,-1.5527586991378739e-15,-2.2011980649230966e-17,1.953578526412852e-05
0.3,-3.1039650277015945e-15,2.989352999925716e-19,3.7795689956138487e-05
0.4,-3.5456153521356735e-15,-3.144529773155686e-18,5.638698057243809e-05
0.5,-4.2083135477603546e-15,-1.7512712365415798e-17,7.498055405781223e-05
0.6,-5.534486732813165e-15,1.9801371592295353e-18,9.171084566366578e-05
0.7,-5.974257795633698e-15,1.3712303575765033e-17,0.00010770533507025866
0.8,-6.855904215377903e-15,-2.2195137470125524e-18,0.0001236216535476452
0.9,-7.957715365295334e-15,7.600944389904135e-18,0.0001374738862564979
1.0,-8.616548960674789e-15,3.103027862959628e-17,0.00014956937323475815
1.1,-9.274721898705395e-15,2.1943087880143628e-17,0.0001613394643575063
1.2,-9.711518349136562e-15,2.00143253171001e-17,0.000171203599101293
1.3,-1.0147875794776738e-14,4.747736426071366e-17,0.00017854284778678946
1.4,-1.0142803125152437e-14,5.1241845618964384e-17,0.00018514203180940782
1.5,-1.0358118491038295e-14,4.072360599202177e-17,0.000190245095367081
1.6,-1.1674592733959925e-14,6.320722300250437e-17,0.00019246608409780483
1.7,-1.188892212113939e-14,8.08988163518262e-17,0.00019343483983341823
1.8,-1.1662923976577052e-14,6.906789548108854e-17,0.0001934179765062155
1.9,-1.2316929480072331e-14,8.014500068766736e-17,0.00019064339483877964
2.0,-1.231077255469191e-14,1.0731820730399594e-16,0.00018613154569147622
2.1,-1.3183520043219312e-14,1.021278777846072e-16,0.0001810951765299921
2.2,-1.2737698933167648e-14,1.0023010995763872e-16,0.00017387249866205129
2.3,-1.251182595710244e-14,1.2856504923096698e-16,0.00016460005299208806
2.4,-1.206677962160145e-14,1.3528641477657778e-16,0.00015510716830471742
2.5,-1.2499320384973531e-14,1.2440292412121916e-16,0.00014431563345915688
2.6,-1.205471887335903e-14,1.4520922415557086e-16,0.00013145808436650203
2.7,-1.1829625874683628e-14,1.640716720106213e-16,0.00011848877949431792
2.8,-1.1166839621302928e-14,1.5176339061026162e-16,0.0001052303996994391
2.9,-1.1380105785293333e-14,1.592772060159022e-16,9.02492044582905e-05
3.0,-1.0936939571804667e-14,1.8520476367400483e-16,7.510551646859594e-05
3.1,-1.0056954671395715e-14,1.7934861126992125e-16,6.0594520622203466e-05
3.2,-9.833407288992253e-15,1.7304028320980762e-16,4.504212786657295e-05
3.3,-9.173259026697575e-15,1.975876571982536e-16,2.921018930636977e-05
3.4,-8.513768290532626e-15,2.0287915567009115e-16,1.4670597493450372e-05
3.5,-7.636741960643247e-15,1.8755858507552711e-16,2.0377270217460452e-09
3.6,-7.414840985693833e-15,2.0244501059829879e-16,-1.5013118217255297e-05
3.7,-6.32126177250435e-15,2.1842201334520753e-16,-2.8437032417168744e-05
3.8,-4.575177260845759e-15,2.0211092122939616e-16,-4.101767979738335e-05
3.9,-3.919620209157591e-15,2.0249396904876198e-16,-5.386269843144622e-05
4.0,-3.2647174074365744e-15,2.235858509541035e-16,-6.5181933137523e-05
4.1,-2.610468365403621e-15,2.1400220043062706e-16,-7.482084125431055e-05
4.2,-1.739442304983391e-15,2.005276969292365e-16,-8.444499724471349e-05
4.3,-8.692864006124769e-16,2.1851461872457455e-16,-9.288770008785406e-05
4.4,0.0,2.2012501754829453e-16,-9.911898328091028e-05
4.5,6.513131615326648e-16,1.9870500000416308e-16,-0.00010488221334843954
4.6,1.0849793105874606e-15,2.0601118611681716e-16,-0.00010994165825520224
4.7,2.3857613043703558e-15,2.1774492559326863e-16,-0.0001126682453242457
4.8,3.0349056460400826e-15,1.967535113895562e-16,-0.00011438956148498968
4.9,3.900071021807635e-15,1.8961765414353662e-16,-0.00011585606887597405
5.0,4.547808386011761e-15,2.0562492820170743e-16,-0.00011528825760476639
5.1,4.978443150219124e-15,1.927530500087724e-16,-0.00011322818278952654
5.2,5.192300400882474e-15,1.7294732840312516e-16,-0.00011120093004339216
5.3,5.6221803079123744e-15,1.8516262766939677e-16,-0.00010777242752088593
5.4,6.051629145061061e-15,1.842856135332076e-16,-0.00010255508338431556
