# Molecule's Polarizability Field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.0,0.0,0.0,0.0
0.05,7.676721534912654e-18,-5.394345707165564e-18,-0.00467528663812633
0.1,2.87642267770095e-17,-1.9116089733854223e-17,-0.018097286668887325
0.15,5.901171389779391e-17,-3.601669765442617e-17,-0.03926471794471609
0.2,9.423536796573734e-17,-5.202023065314169e-17,-0.06806534981357104
0.25,1.3265917652656598e-16,-6.55302399144047e-17,-0.10513320991001751
0.3,1.7464909190218814e-16,-7.413804515592587e-17,-0.15042228260512247
0.35,2.202679994556476e-16,-7.523456757079929e-17,-0.20261031673867436
0.4,2.6718091669711785e-16,-6.66667110086807e-17,-0.26029171128422757
0.45,3.1270143477955624e-16,-4.998584742422617e-17,-0.32343764203485525
0.5,3.585409786466479e-16,-3.18214173001223e-17,-0.39304112415621173
0.55,4.0921201027779247e-16,-1.8254380524032264e-17,-0.46920213894836627
0.6,4.707939195900668e-16,-1.0949734653813084e-17,-0.5502174236473263
0.65,5.439229490757175e-16,-7.707490047143057e-18,-0.6339809130173835
0.7,6.236085887402271e-16,-8.446339701365894e-18,-0.7199801631810863
0.75,7.042417675634905e-16,-1.2933464621743723e-17,-0.8092701829441924
0.8,7.836899863001208e-16,-1.8328874815138976e-17,-0.9022688346076511
0.85,8.657543734040921e-16,-2.1975942551207284e-17,-0.9971850309390415
0.9,9.496839038931408e-16,-1.8744284108104397e-17,-1.0912143133294498
0.95,1.0292978132714772e-15,-2.162389588777443e-18,-1.1831565503950334
1.0,1.097922199520234e-15,2.6622472887547222e-17,-1.2742511519845552
1.05,1.1551905132707625e-15,6.108574527058673e-17,-1.3660745289329703
1.1,1.2086892136166276e-15,9.76809037876812e-17,-1.4579925253012946
1.15,1.2672250539856302e-15,1.3674475874799556e-16,-1.5473449598663724
1.2,1.3293603664583418e-15,1.7620212101778873e-16,-1.6321888584061313
1.25,1.3912761057720585e-15,2.1090280174086833e-16,-1.713306675684982
1.3,1.4498290829358613e-15,2.3623603580081845e-16,-1.792981052644027
1.35,1.5051493923074459e-15,2.535995360410346e-16,-1.8718685004750673
1.4,1.5643368940065913e-15,2.6848720023128875e-16,-1.9477383584678312
1.45,1.6275742379135281e-15,2.8997133204191125e-16,-2.017662762047735
1.5,1.68511939934397e-15,3.217790999594443e-16,-2.0811460788323206
1.55,1.727843231374114e-15,3.6216173875340574e-16,-2.1405427846144516
1.6,1.757148418625996e-15,4.059280602933555e-16,-2.1981862953378037
1.65,1.7792458763309e-15,4.541466331936634e-16,-2.253554472558766
1.7,1.8015684768135093e-15,5.114052881947717e-16,-2.3038477575811966
1.75,1.8245293624484844e-15,5.716706974996706e-16,-2.3473347933176787
1.8,1.840972114755059e-15,6.280016316619418e-16,-2.3855842983849036
1.85,1.8519606904899446e-15,6.741808156985617e-16,-2.4219032020923796
1.9,1.863847190640716e-15,7.080784816023245e-16,-2.4576486001778868
1.95,1.884045887811006e-15,7.349163914229989e-16,-2.4906911541810954
2.0,1.9090456492884543e-15,7.586601704712935e-16,-2.5178884437457496
2.05,1.930936942093052e-15,7.83893229026165e-16,-2.538799710233733
2.1,1.942954140158123e-15,8.11538495959901e-16,-2.5563868689121585
2.15,1.9437729098693164e-15,8.394802956390656e-16,-2.573792902571912
2.2,1.939459144802056e-15,8.731698190174177e-16,-2.5908533991343035
2.25,1.9341267121464684e-15,9.157294258105488e-16,-2.604440509869999
2.3,1.9259928276038565e-15,9.639142815175565e-16,-2.6123419663296934
2.35,1.911633980617727e-15,1.012084681669122e-15,-2.6162467719964195
2.4,1.891049101139229e-15,1.0549397951541393e-15,-2.620278275651712
2.45,1.8731835455805673e-15,1.0858697672995308e-15,-2.6265706985222366
2.5,1.864197951271025e-15,1.1041860349370468e-15,-2.6329629820557123
2.55,1.864064507742586e-15,1.1150758859473856e-15,-2.635588964619925
2.6,1.8667345061244497e-15,1.1194761755359668e-15,-2.6335103476268875
2.65,1.8655951614932264e-15,1.1170801804075953e-15,-2.6300425033352552
2.7,1.860770327116157e-15,1.109128774091962e-15,-2.629086971746477
2.75,1.8563017071880027e-15,1.1013097004207995e-15,-2.6306302622039626
2.8,1.8517461879870026e-15,1.1005139911119179e-15,-2.630727878134845
2.85,1.843915388300602e-15,1.107176203182559e-15,-2.626180689669332
2.9,1.829853912106223e-15,1.117011030492277e-15,-2.6185522877268825
2.95,1.8116322675690875e-15,1.1218462436662285e-15,-2.6126914148515503
3.0,1.7948271286221544e-15,1.1168589112893158e-15,-2.611267600031015
3.05,1.7852032632529702e-15,1.1045809710630257e-15,-2.611645524791142
3.1,1.786721514618706e-15,1.086652868039074e-15,-2.6088817513511686
3.15,1.794613643005235e-15,1.055709846808709e-15,-2.6015116462091825
3.2,1.8057595931669046e-15,1.0113565648939011e-15,-2.5933259716130537
3.25,1.8194653463382524e-15,9.536429463721444e-16,-2.588878762768693
3.3,1.8352381318640035e-15,8.898304896272652e-16,-2.587915426057699
3.35,1.854404724467806e-15,8.2747072708889015e-16,-2.5853775646287294
3.4,1.8729938276167958e-15,7.720696300829251e-16,-2.577184839584641
